# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602452969.3175979,0,2943.8935546875,0.0,2.69524884223938,1.0519473552703857,-0.04908864200115204,0.010416666977107525,0.19351546466350555,0.20393212139606476,0.38901615142822266,0.9395917654037476,1597.5343017578125,16.46422004699707,1326.1968994140625
1,1602452972.4175198,1920,6526.6015625,3.3333332538604736,-1.7363091707229614,3325.623046875,-0.0012760382378473878,0.0052083334885537624,0.06159249320626259,0.06680082529783249,0.23893655836582184,0.9275109767913818,1023.6324462890625,14.967514038085938,2164.115966796875
2,1602452975.4963794,3840,1874.381103515625,0.0,1.8665809631347656,62.677555084228516,-0.006875487510114908,0.0,0.0986311137676239,0.0986311137676239,0.24301476776599884,0.9552850127220154,693.4569091796875,14.577476501464844,1101.8095703125
3,1602452978.4301264,5760,2390.872802734375,0.0,0.7488641738891602,11.023630142211914,-0.02688715234398842,0.0015625000232830644,0.04704204946756363,0.04860454797744751,0.1534692645072937,0.8442114591598511,744.5599975585938,13.862794876098633,1620.7044677734375
4,1602452981.2232113,7680,2000.737060546875,0.0,-1.2307747602462769,150.1567840576172,-0.007148868404328823,0.006770833395421505,0.06003094092011452,0.0668017789721489,0.14024870097637177,0.8140126466751099,519.4124755859375,14.118904113769531,1318.286865234375
5,1602452984.0359778,9600,1889.015625,0.0,0.764213502407074,88.6429672241211,-0.0017512181075289845,0.0052083334885537624,0.05998166278004646,0.06518999487161636,0.126203253865242,0.8016888499259949,495.3253173828125,14.116189956665039,1290.168701171875
6,1602452987.0495675,11520,1648.419189453125,nan,4.094351768493652,16.326892852783203,-0.030147772282361984,0.0,0.05088077113032341,0.05088077113032341,0.11308182775974274,0.8380666375160217,419.24432373046875,13.886140823364258,1194.8975830078125
7,1602452989.921154,13440,1642.3905029296875,0.0,1.1880890130996704,3.483311891555786,-0.022466743364930153,0.0052083334885537624,0.042736444622278214,0.04794478416442871,0.0996270403265953,0.7851859927177429,313.9801330566406,14.08310604095459,1309.6783447265625
8,1602452992.7257323,15360,1709.001708984375,0.0,1.6704126596450806,2.36647891998291,-0.030865201726555824,0.0052083334885537624,0.044028088450431824,0.049236420542001724,0.09713105857372284,0.7678324580192566,325.39373779296875,14.301457405090332,1365.300537109375
9,1602452995.5601797,17280,1534.09326171875,nan,0.29441335797309875,15.31552505493164,-0.06865756958723068,0.0,0.03453347459435463,0.03453347459435463,0.07478991150856018,0.8103029727935791,246.05734252929688,14.202821731567383,1258.291748046875
10,1602452998.5182683,19200,1435.0955810546875,0.0,0.9572113752365112,0.3957308530807495,-0.09071961045265198,0.0,0.018441608175635338,0.018441608175635338,0.04167705401778221,0.5765467882156372,229.39451599121094,13.231973648071289,1191.2069091796875
11,1602453001.5119781,21120,1361.6685791015625,nan,-0.2112230360507965,0.02312954142689705,-0.04331744462251663,0.0,0.004814408253878355,0.004814408253878355,0.011147996410727501,0.3661883473396301,214.28594970703125,12.639074325561523,1134.9749755859375
12,1602453004.4431527,23040,2295.243408203125,0.0,0.3888421356678009,2.9799349308013916,-0.008222565986216068,0.010416666977107525,0.023129409179091454,0.033546075224876404,0.06017810478806496,0.5757260918617249,210.5801544189453,13.193948745727539,2068.108642578125
13,1602453007.2028186,24960,1752.494873046875,2.6666667461395264,0.0007977193454280496,182.96929931640625,-1.704376927591511e-06,0.02604166604578495,0.04943175986409187,0.07547342777252197,0.10692281275987625,0.8651743531227112,205.3873291015625,14.25910472869873,1349.87841796875
14,1602453010.2882936,26880,1456.6522216796875,20.0,0.006799483671784401,52.728206634521484,-1.889336999738589e-05,0.010416666977107525,0.039774660021066666,0.050191327929496765,0.08953627198934555,0.8393614292144775,130.18911743164062,13.581842422485352,1260.146240234375
15,1602453013.047664,28800,1451.352294921875,4.285714149475098,0.31666940450668335,16.229700088500977,-0.0027836875524371862,0.010416666977107525,0.051412105560302734,0.06182876601815224,0.12607915699481964,0.9734809994697571,195.35885620117188,13.358118057250977,1226.091796875
16,1602453015.8435779,30720,1416.5999755859375,3.3333332538604736,0.2960341274738312,32.32704544067383,-0.0025991268921643496,0.0052083334885537624,0.02685290202498436,0.03206123411655426,0.05718623101711273,0.9584997892379761,120.43830871582031,13.932642936706543,1249.6085205078125
17,1602453018.845265,32640,2022.457275390625,4.0,0.07658718526363373,3.9325103759765625,-0.006817268207669258,0.015625,0.026771074160933495,0.042396076023578644,0.06602025032043457,0.95008784532547,168.51356506347656,12.526307106018066,1837.4151611328125
18,1602453021.906019,34560,1544.2635498046875,4.285714149475098,0.31415247917175293,32.62056350708008,-0.0025724032893776894,0.015625,0.02851833961904049,0.04414333775639534,0.060954246670007706,0.9921914935112,87.55387115478516,13.512667655944824,1410.264892578125
19,1602453024.2109158,36480,1404.2730712890625,2.875,0.0860409364104271,3.797057628631592,-0.005347139667719603,0.0015625000232830644,0.018471427261829376,0.020033929497003555,0.0383579395711422,0.9888229966163635,93.41216278076172,13.839057922363281,1293.14404296875
