# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1602447540.6735368,0,1260.8687744140625,nan,0.7315835952758789,0.47695502638816833,-0.03953762724995613,0.0,0.029186256229877472,0.029186256229877472,0.06339727342128754,0.4227384030818939,1242.5478515625,17.151952743530273
1,1602447543.2684171,1920,3566.766357421875,10.0,-45.562904357910156,2523.71826171875,-0.010804868303239346,0.0052083334885537624,0.01945040002465248,0.02465873397886753,0.04433542862534523,0.35301846265792847,1075.0440673828125,13.577898979187012
2,1602447545.8272088,3840,795.488525390625,nan,-0.158002570271492,4.390791893005371,-0.002121481578797102,0.0,0.017960594967007637,0.017960594967007637,0.04372115805745125,0.3423062860965729,778.5086669921875,12.74920654296875
3,1602447548.351435,5760,552.2591552734375,nan,0.003931770566850901,9.332864761352539,-0.0008924881112761796,0.0,0.010876893065869808,0.010876893065869808,0.026227882131934166,0.303432822227478,529.889404296875,13.033900260925293
4,1602447550.868271,7680,491.4804382324219,nan,-0.003373897634446621,0.573747456073761,-0.008112214505672455,0.0015625000232830644,0.00921654887497425,0.01077904924750328,0.024154873564839363,0.24763496220111847,478.1017761230469,12.816397666931152
5,1602447553.415916,9600,458.29803466796875,nan,0.5645060539245605,0.2301895022392273,-0.07193583250045776,0.0,0.012881282716989517,0.012881282716989517,0.03375629708170891,0.34456804394721985,445.9856872558594,11.589613914489746
6,1602447555.6028104,11520,332.62939453125,nan,0.0752815380692482,0.10135389864444733,-0.0016059146728366613,0.0,0.009499390609562397,0.009499390609562397,0.02484900876879692,0.29123204946517944,319.5428771972656,12.911491394042969
7,1602447558.0647204,13440,348.84405517578125,10.0,-0.019206926226615906,0.01402589213103056,-0.011255962774157524,0.0052083334885537624,0.004324489738792181,0.009532823227345943,0.012891107238829136,0.18149150907993317,337.18658447265625,11.673911094665527
8,1602447560.1729844,15360,270.6296081542969,nan,-0.1760905385017395,0.11718316376209259,-0.02597864903509617,0.0,0.00784315075725317,0.00784315075725317,0.018343867734074593,0.3148576021194458,258.16876220703125,12.545743942260742
9,1602447562.371671,17280,235.08460998535156,0.0,-0.0004686476313509047,0.05394328385591507,-0.0008573867962695658,0.0,0.004337557125836611,0.004337557125836611,0.009611144661903381,0.2151753455400467,222.8529052734375,12.179097175598145
10,1602447564.9119525,19200,211.84417724609375,nan,0.1200605034828186,1.051191806793213,-0.011925432831048965,0.0,0.0046697985380887985,0.0046697985380887985,0.01281692460179329,0.25377318263053894,198.02182006835938,12.6630277633667
