# _tick,_time,frames,mean_episode_return,total_loss,pg_loss,baseline_loss,entropy_loss
0,1602476828.8747067,0,0.0,0.8953624367713928,0.2497740238904953,0.6834391355514526,-0.037850722670555115
1,1602476839.2232685,1920,0.0,18.25527572631836,-1.53739744977766e-23,18.25527572631836,-6.419275467968013e-23
2,1602476840.716169,3840,0.0,727.553955078125,0.0,727.553955078125,-0.0
3,1602476847.0949993,5760,nan,1.27314031124115,-6.145961967433597e-14,1.27314031124115,-4.0156392073316047e-14
4,1602476849.1831279,7680,0.0,2.3618767261505127,-8.286019692604896e-08,2.361876964569092,-1.790733534789979e-07
5,1602476850.7869608,9600,0.0,5479.57666015625,1.0260465614919667e-06,5479.57666015625,-1.2310479302612976e-09
6,1602476852.218189,11520,nan,230.1187744140625,0.04101605713367462,230.07806396484375,-0.0003045602061320096
7,1602476853.7581916,13440,nan,201.6249237060547,-0.00046649936120957136,201.62559509277344,-0.0001966161362361163
8,1602476854.7412102,15360,nan,615.7337646484375,0.25311949849128723,615.4820556640625,-0.001382889924570918
9,1602476856.3217611,17280,nan,24.285966873168945,-0.348865270614624,24.67298698425293,-0.03815554454922676
10,1602476857.816582,19200,nan,32.21724319458008,-0.22924137115478516,32.45499038696289,-0.008507084101438522
11,1602476859.004222,21120,nan,55.42275619506836,2.0344090461730957,53.44150924682617,-0.05316305160522461
12,1602476860.5469997,23040,nan,1.4407126903533936,-0.02359103597700596,1.5513763427734375,-0.08707265555858612
13,1602476862.1255999,24960,nan,3.9476475715637207,0.7056996822357178,3.3669896125793457,-0.12504160404205322
14,1602476863.0433152,26880,nan,1.4253679513931274,-0.3791303038597107,1.867721438407898,-0.06322319060564041
15,1602476864.3558235,28800,nan,2.551123857498169,0.5935745239257812,2.070772171020508,-0.11322285234928131
16,1602476865.6488688,30720,nan,0.38076475262641907,-0.19085471332073212,0.6696751713752747,-0.09805568307638168
17,1602476867.1228077,32640,0.0,0.07442871481180191,0.028653161600232124,0.16025397181510925,-0.11447841674089432
18,1602476868.5182598,34560,0.0,-0.09595445543527603,-0.09891287237405777,0.13312189280986786,-0.13016347587108612
19,1602476870.0222144,36480,0.0,0.03202870488166809,0.05762425437569618,0.1032148227095604,-0.12881037592887878
20,1602476871.5256102,38400,0.0,0.19545328617095947,0.2179385870695114,0.10663428902626038,-0.12911957502365112
21,1602476873.0563984,40320,1.25,-0.6247056722640991,-0.6239787936210632,0.13689333200454712,-0.1376202404499054
22,1602476874.2979093,42240,0.0,-0.38594380021095276,-0.2964453101158142,0.050847504287958145,-0.1403459906578064
23,1602476875.7131777,44160,2.0,0.4797809422016144,0.4912620782852173,0.12096899002790451,-0.132450133562088
24,1602476876.970024,46080,10.0,-0.3172995448112488,-0.2100931704044342,0.03351997956633568,-0.14072637259960175
25,1602476878.484736,48000,0.0,-0.3269783854484558,-0.2529429793357849,0.059484388679265976,-0.13351978361606598
26,1602476880.1305149,49920,0.0,-0.01745249330997467,0.09006565809249878,0.03614575043320656,-0.1436638981103897
27,1602476881.6279712,51840,0.0,-0.06792435050010681,0.0049491263926029205,0.06571780890226364,-0.13859128952026367
28,1602476882.7554355,53760,10.0,0.28366947174072266,0.35069355368614197,0.07751543074846268,-0.1445394903421402
29,1602476884.1870623,55680,5.0,-0.31439441442489624,-0.21897168457508087,0.05127406865358353,-0.1466967910528183
30,1602476885.3921583,57600,0.0,0.2651582956314087,0.364882230758667,0.048956673592329025,-0.14868059754371643
31,1602476886.8637888,59520,0.0,-0.22077147662639618,-0.10052641481161118,0.030786361545324326,-0.15103141963481903
32,1602476888.094081,61440,0.0,-0.2936704158782959,-0.18808282911777496,0.04213103652000427,-0.1477186232805252
33,1602476889.538827,63360,nan,-0.5332006216049194,-0.400454580783844,0.014591401442885399,-0.1473374217748642
34,1602476890.89891,65280,0.0,0.016279786825180054,0.14588423073291779,0.0193512924015522,-0.14895573258399963
35,1602476892.4309025,67200,0.0,0.5859084725379944,0.6736416816711426,0.05914231017231941,-0.1468755006790161
36,1602476893.8672352,69120,10.0,-0.745398759841919,-0.6132940649986267,0.019951321184635162,-0.1520560383796692
37,1602476895.2849476,71040,2.5,0.9899306297302246,1.1038771867752075,0.036663103848695755,-0.15060961246490479
38,1602476896.6921988,72960,0.0,-1.2878613471984863,-1.168924331665039,0.032600488513708115,-0.15153753757476807
