# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602191423.9974291,0,8618.69921875,nan,-3.1546013355255127,5.343747615814209,-0.23437495529651642,0.0,0.0036765304394066334,0.0036765304394066334,0.38372665643692017,0.6490671038627625,2760.8671875,26.091018676757812,5829.78564453125
1,1602191425.3751376,800,5115.84912109375,nan,-1.5081536769866943,18.82101058959961,-0.06246883422136307,0.0,0.0020314762368798256,0.0020314762368798256,0.27086490392684937,0.5267358422279358,1866.688232421875,25.803964614868164,3206.1064453125
2,1602191426.4485497,1600,3666.71533203125,nan,1.8888654708862305,28.48169708251953,-0.09570705145597458,0.0,0.002661107573658228,0.002661107573658228,0.4459831118583679,0.5838265419006348,1886.2584228515625,24.778284072875977,1725.40380859375
3,1602191427.4899259,2400,2795.65673828125,0.0,-4.795117547473637e-06,34.059654235839844,-1.0872695810348887e-07,0.0,0.0010691789211705327,0.0010691789211705327,0.1814713329076767,0.62357497215271,1871.6063232421875,23.562875747680664,866.4279174804688
4,1602191428.548702,3200,2304.52587890625,nan,-0.00033158186124637723,11.553954124450684,-2.513212530175224e-05,0.0,0.001246302854269743,0.001246302854269743,0.2460303157567978,0.6206004619598389,1659.5924072265625,23.98251724243164,609.3973388671875
5,1602191429.5980878,4000,2083.05029296875,nan,-0.007720915134996176,28.761119842529297,-0.0004775843699462712,0.0,0.0012436220422387123,0.0012436220422387123,0.300908625125885,0.5589045286178589,1520.887939453125,24.548524856567383,508.8608093261719
6,1602191430.7789407,4800,5558.6533203125,11.0,0.010541948489844799,13.522557258605957,-0.0012940162559971213,0.013749999925494194,0.0019100559875369072,0.015660054981708527,0.4309123754501343,0.5500677824020386,1418.455322265625,24.401914596557617,4102.26416015625
7,1602191431.8315475,5600,1861.6907958984375,nan,-0.11150563508272171,2.1349551677703857,-0.000909441034309566,0.0,0.0008021746762096882,0.0008021746762096882,0.17963622510433197,0.3523710370063782,1204.2735595703125,23.721582412719727,631.673095703125
8,1602191432.90366,6400,1685.03955078125,nan,0.25541216135025024,6.687185764312744,-0.0009905588813126087,0.0,0.0012771632755175233,0.0012771632755175233,0.2750469446182251,0.663349986076355,1097.64453125,24.365158081054688,556.0882568359375
9,1602191434.0671887,7200,6422.263671875,11.0,0.026084396988153458,35.064842224121094,-0.0010790397645905614,0.013749999925494194,0.0012101539177820086,0.01496015302836895,0.3233187198638916,0.5940635800361633,1081.9129638671875,24.48884391784668,5280.77197265625
10,1602191435.2808611,8000,11638.4765625,4.0,1.596459150314331,35.63158416748047,-0.006702762562781572,0.014999999664723873,0.0013649883912876248,0.016364986076951027,0.3246435523033142,0.594473659992218,1010.404541015625,24.321239471435547,10566.529296875
11,1602191436.3371773,8800,8978.83203125,nan,-4.631129264831543,11.351728439331055,-0.017945991829037666,0.0012499999720603228,0.0019909837283194065,0.003240983234718442,0.4523751437664032,0.5475654006004333,1067.7061767578125,24.734912872314453,7879.6884765625
12,1602191437.4425764,9600,8860.076171875,0.0,-0.36443638801574707,2.6855673789978027,-0.0016770876245573163,0.0024999999441206455,0.000992283341474831,0.003492283169180155,0.19912654161453247,0.6497457027435303,825.4061889648438,24.79779624938965,8007.55322265625
13,1602191438.4467404,10400,2578.431640625,nan,0.06633172184228897,5.486954689025879,-0.002257996704429388,0.0,0.0006434226525016129,0.0006434226525016129,0.1433425098657608,0.3271477520465851,806.91259765625,24.43681526184082,1741.53125
14,1602191439.5691957,11200,9493.783203125,11.0,-1.4280848503112793,9.08869743347168,-0.008664214052259922,0.013749999925494194,0.0014819350326433778,0.015231936238706112,0.34183406829833984,0.5489126443862915,828.3599243164062,24.6956729888916,8633.0751953125
15,1602191440.7130601,12000,2632.634033203125,nan,0.008583665825426579,5.302870750427246,-0.0055094193667173386,0.0,0.0013228479074314237,0.0013228479074314237,0.30216702818870544,0.4721648395061493,862.778564453125,23.98191261291504,1740.5675048828125
16,1602191441.8137984,12800,2062.80419921875,nan,0.06134454533457756,2.1387574672698975,-0.012792478315532207,0.0,0.0017781852511689067,0.0017781852511689067,0.4410068392753601,0.5885108113288879,969.0698852539062,25.217939376831055,1066.3291015625
17,1602191443.1276846,13600,1861.6580810546875,nan,0.042745135724544525,2.310033082962036,-0.00698061054572463,0.0,0.002201486611738801,0.002201486611738801,0.5220345854759216,0.6539538502693176,889.8898315429688,26.03951072692871,943.3829345703125
18,1602191444.1920748,14400,4663.9912109375,11.0,0.009190893732011318,14.878342628479004,-0.02945489063858986,0.013749999925494194,0.001846120459958911,0.015596120618283749,0.7171823978424072,0.4526626169681549,922.1328735351562,26.988523483276367,3700.01171875
19,1602191445.1766436,15200,1960.31103515625,nan,-0.04152834787964821,147.86512756347656,-0.005544007755815983,0.0,0.0011887254659086466,0.0011887254659086466,0.29828062653541565,0.44996967911720276,732.873291015625,25.08335304260254,1054.5362548828125
20,1602191446.3041854,16000,1511.185546875,nan,-0.4957016706466675,10.149293899536133,-0.07863835245370865,0.0,0.00011651384556898847,0.00011651384556898847,0.03029158152639866,0.22347939014434814,795.1599731445312,23.8024959564209,682.6480712890625
21,1602191447.2902837,16800,1442.121826171875,nan,0.9324541091918945,38.55164337158203,-0.07469083368778229,0.0,0.0002544386952649802,0.0002544386952649802,0.08240896463394165,0.2833026349544525,895.25830078125,22.618345260620117,484.8358154296875
22,1602191448.345314,17600,1332.880615234375,nan,-0.4908229410648346,43.506370544433594,-0.11199789494276047,0.0,0.0002886220463551581,0.0002886220463551581,0.08626403659582138,0.3444940149784088,753.2050170898438,22.61936378479004,514.152587890625
23,1602191449.3492024,18400,1274.29443359375,nan,0.2650752663612366,20.54366111755371,-0.08442354947328568,0.0,9.691480227047578e-05,9.691480227047578e-05,0.06163812056183815,0.13558457791805267,695.2362670898438,21.93648338317871,536.3974609375
24,1602191450.3544862,19200,1134.579833984375,nan,-0.40166589617729187,8.877412796020508,-0.0667581856250763,0.0,0.0001192060299217701,0.0001192060299217701,0.0416392982006073,0.22547975182533264,635.119384765625,22.01841926574707,469.032958984375
25,1602191451.34435,20000,1130.984375,nan,0.7941097617149353,8.44154167175293,-0.2224503457546234,0.0,4.280824578017928e-05,4.280824578017928e-05,0.020716199651360512,0.15381674468517303,641.757568359375,21.601900100708008,458.61175537109375
26,1602191452.3885353,20800,1172.9947509765625,nan,-0.681622326374054,14.553159713745117,-0.2282423973083496,0.0,3.915480192517862e-05,3.915480192517862e-05,0.020179472863674164,0.17340201139450073,668.2620849609375,20.89081382751465,470.1985168457031
27,1602191453.391449,21600,1090.65283203125,nan,0.2077883929014206,18.31892967224121,-0.22733226418495178,0.0,0.00023320416221395135,0.00023320416221395135,0.06519709527492523,0.2566679120063782,585.1091918945312,21.246809005737305,465.9974365234375
28,1602191454.4286294,22400,1026.61962890625,nan,-0.8246174454689026,16.081592559814453,-0.1639133244752884,0.0,5.276803676679265e-06,5.276803676679265e-06,0.002782587194815278,0.08069468289613724,517.275146484375,20.92940330505371,473.3219909667969
29,1602191455.4097674,23200,972.4014282226562,nan,0.5880040526390076,9.190119743347168,-0.23202811181545258,0.0,4.890203490504064e-05,4.890203490504064e-05,0.021998057141900063,0.17925071716308594,487.37945556640625,21.041391372680664,454.43450927734375
30,1602191456.7176619,24000,13940.78515625,nan,0.2617947459220886,3.288045644760132,-0.32544490694999695,0.0012499999720603228,5.96316676819697e-05,0.001309631741605699,0.026586752384901047,0.14928516745567322,516.4977416992188,20.59827995300293,13400.46484375
31,1602191457.7411911,24800,1031.9967041015625,nan,0.5313450694084167,5.420863151550293,-0.5337099432945251,0.0,3.6745968827744946e-05,3.6745968827744946e-05,0.021388337016105652,0.16117502748966217,540.6264038085938,20.411558151245117,465.54022216796875
32,1602191458.7492256,25600,957.1890258789062,nan,-0.5046480894088745,9.230360984802246,-0.3364984095096588,0.0,6.517690053442493e-05,6.517690053442493e-05,0.02747363969683647,0.22516639530658722,476.4628601074219,20.48805046081543,451.8489074707031
33,1602191459.7832828,26400,905.2810668945312,nan,0.6127563118934631,3.1893537044525146,-0.29402852058410645,0.0,1.6042164133978076e-05,1.6042164133978076e-05,0.012597441673278809,0.06016872450709343,421.8868713378906,20.347187042236328,459.5389099121094
34,1602191460.8120575,27200,889.4564819335938,0.0,-0.39605364203453064,0.8651173710823059,-0.37312936782836914,0.0,2.676798430911731e-05,2.676798430911731e-05,0.01521771214902401,0.13933821022510529,416.4861755371094,20.495454788208008,452.37890625
35,1602191461.8378656,28000,946.9407348632812,nan,1.1223528385162354,3.023521661758423,-0.49877485632896423,0.0,2.8731501515721902e-05,2.8731501515721902e-05,0.018652940168976784,0.11199972778558731,468.9102783203125,19.96498680114746,454.4183654785156
36,1602191462.8780122,28800,956.6029052734375,nan,-0.2138790339231491,1.0244078636169434,-0.6055358052253723,0.0,7.752847886877134e-05,7.752847886877134e-05,0.03240923210978508,0.15458063781261444,477.6562194824219,19.575714111328125,459.1659851074219
37,1602191463.9786212,29600,909.7913208007812,nan,0.616512656211853,1.9811314344406128,-0.5015290975570679,0.0,0.0001671910285949707,0.0001671910285949707,0.050400782376527786,0.21956974267959595,425.3348083496094,20.12444305419922,462.2359619140625
38,1602191465.0045815,30400,852.3524169921875,nan,-0.5446003079414368,2.364743709564209,-0.36324506998062134,0.0,4.521447863226058e-06,4.521447863226058e-06,0.0026771416887640953,0.06397826969623566,372.54583740234375,20.32750701904297,458.02215576171875
39,1602191466.0240934,31200,866.800537109375,nan,0.6694042682647705,0.8706780672073364,-0.5480599999427795,0.0,0.00013572783791460097,0.00013572783791460097,0.041739530861377716,0.22881951928138733,395.4408264160156,19.88194465637207,450.4856872558594
40,1602191467.009467,32000,892.5376586914062,nan,-0.599511981010437,0.8587320446968079,-0.5294495820999146,0.0,5.203004548093304e-05,5.203004548093304e-05,0.024127738550305367,0.16400226950645447,420.3626708984375,20.202451705932617,452.2427673339844
41,1602191468.0631695,32800,898.4595947265625,0.0,0.26905566453933716,0.14392295479774475,-0.9626296758651733,0.0,0.00016011531988624483,0.00016011531988624483,0.04245031252503395,0.24547836184501648,421.3621826171875,19.629331588745117,458.0177001953125
42,1602191469.1209636,33600,905.3090209960938,0.0,0.11264385282993317,0.8139262199401855,-0.48256465792655945,0.0,0.0002585419570095837,0.0002585419570095837,0.07681462913751602,0.2264464795589447,432.90496826171875,20.677824020385742,451.2822265625
43,1602191470.1079438,34400,808.5201416015625,0.0,-1.285338044166565,1.1589181423187256,-0.3538867235183716,0.0,1.9547023839550093e-05,1.9547023839550093e-05,0.014326661825180054,0.05786122381687164,332.54815673828125,20.120838165283203,456.3314514160156
44,1602191471.113174,35200,859.38134765625,nan,1.3497552871704102,0.6474509835243225,-0.4679346978664398,0.0,0.00018065427138935775,0.00018065427138935775,0.06132010370492935,0.2657513916492462,387.1406555175781,19.97450828552246,450.7369384765625
45,1602191472.199553,36000,847.0054931640625,0.5,-0.3380405604839325,0.28092193603515625,-0.5807109475135803,0.0,0.000145047961268574,0.000145047961268574,0.03672866150736809,0.23164409399032593,374.8829345703125,19.829147338867188,452.9311828613281
46,1602191473.2106624,36800,986.4065551757812,0.4000000059604645,1.6500850915908813,0.8964258432388306,-0.8513511419296265,0.0,0.00032547020236961544,0.00032547020236961544,0.10623961687088013,0.3834502398967743,503.60107421875,21.448598861694336,459.6617431640625
47,1602191474.226104,37600,904.288818359375,0.0,1.1065282821655273,3.3146605491638184,-0.4406847357749939,0.0,0.00030984674231149256,0.00030984674231149256,0.07399530708789825,0.2621547281742096,426.07073974609375,19.705251693725586,454.53228759765625
