# _tick,_time,frames,mean_episode_return,total_loss,pg_loss,baseline_loss,entropy_loss
0,1602654284.4357536,0,nan,2.0097503662109375,-0.680995523929596,3.118654251098633,-0.4279085099697113
1,1602654286.031282,800,nan,8.55721664428711,-0.005600959528237581,8.56881046295166,-0.00599278137087822
2,1602654287.6576767,1600,0.0,23.95055389404297,-0.7119148373603821,24.70469093322754,-0.042223043739795685
3,1602654288.3364062,2400,0.0,1.0594757795333862,0.0009051205706782639,1.058583378791809,-1.279625212191604e-05
4,1602654288.8602557,3200,0.0,1.684921145439148,0.001055153552442789,1.6839624643325806,-9.647256229072809e-05
5,1602654289.176777,4000,0.0,32.178977966308594,-0.03829552233219147,32.21730041503906,-2.6154200895689428e-05
6,1602654289.5702217,4800,nan,777.341064453125,0.0013618774246424437,777.340087890625,-0.0003422563895583153
7,1602654289.9040916,5600,nan,33.35319900512695,-0.0018969419179484248,33.355140686035156,-4.58094546047505e-05
8,1602654290.3041058,6400,0.0,75.1883316040039,-0.004416735377162695,75.1929931640625,-0.00024455206585116684
9,1602654290.6314986,7200,nan,365.94805908203125,-0.05437899008393288,366.00341796875,-0.0009757719235494733
10,1602654291.0619643,8000,nan,19.39321517944336,0.07737506181001663,19.31794548034668,-0.002105121035128832
11,1602654291.3926737,8800,nan,134.04165649414062,0.29859182238578796,133.74713134765625,-0.004074181895703077
12,1602654291.8069038,9600,nan,310.0613098144531,-0.01760907657444477,310.0804748535156,-0.0015576556324958801
13,1602654292.1325514,10400,nan,3.2958576679229736,-0.6520351767539978,3.9533586502075195,-0.005465767811983824
14,1602654292.5358205,11200,nan,31.409799575805664,-0.2899986803531647,31.71572494506836,-0.01592705026268959
15,1602654292.8795276,12000,nan,40.259281158447266,0.26901671290397644,40.00087356567383,-0.010607915930449963
16,1602654293.3110662,12800,nan,90.72978973388672,-0.009267647750675678,90.74040985107422,-0.0013515842147171497
17,1602654293.644493,13600,nan,57.1506233215332,0.004735731054097414,57.153568267822266,-0.007680046372115612
18,1602654293.9700427,14400,nan,41.117759704589844,-0.041162241250276566,41.17380905151367,-0.014888586476445198
19,1602654294.3846197,15200,nan,28.791349411010742,0.1717142015695572,28.638343811035156,-0.018709568306803703
20,1602654294.7175198,16000,nan,47.184844970703125,-0.13425420224666595,47.34811019897461,-0.029009422287344933
21,1602654295.0855658,16800,nan,13.233797073364258,0.19153337180614471,13.06827163696289,-0.026007642969489098
22,1602654295.512106,17600,nan,26.749553680419922,-0.14144468307495117,26.94373321533203,-0.05273433402180672
23,1602654295.831478,18400,nan,9.168482780456543,0.24079637229442596,9.049383163452148,-0.1216961145401001
24,1602654296.1825502,19200,nan,47.67693328857422,-0.0896385982632637,47.79265594482422,-0.02608320116996765
25,1602654296.5800889,20000,nan,10.704071998596191,0.14743715524673462,10.617338180541992,-0.060703471302986145
26,1602654296.9537573,20800,nan,6.354347229003906,-0.20274171233177185,6.7291483879089355,-0.17205964028835297
27,1602654297.3570902,21600,nan,7.3964948654174805,0.1589255928993225,7.407589912414551,-0.17002065479755402
28,1602654297.6885486,22400,nan,17.75018882751465,-0.13988983631134033,17.905609130859375,-0.015529424883425236
29,1602654298.0170045,23200,0.0,5.327770709991455,0.05308965593576431,5.413359642028809,-0.138678640127182
30,1602654298.4168322,24000,nan,23.214569091796875,-0.2749534249305725,23.61504364013672,-0.12552028894424438
31,1602654298.8648345,24800,nan,3.1552248001098633,0.16765686869621277,3.3470537662506104,-0.3594857454299927
32,1602654299.1941104,25600,nan,10.381622314453125,-0.011303985491394997,10.603483200073242,-0.21055693924427032
33,1602654299.5595942,26400,nan,19.000102996826172,0.30183207988739014,18.731237411499023,-0.03296639025211334
34,1602654299.891544,27200,nan,7.962405204772949,-0.11961323767900467,8.188068389892578,-0.10604950785636902
35,1602654300.2179422,28000,nan,4.246531963348389,0.0929734855890274,4.408470153808594,-0.254911869764328
36,1602654300.6240714,28800,nan,4.921469688415527,-0.41940751671791077,5.773097515106201,-0.4322205185890198
37,1602654300.9497898,29600,nan,4.512538433074951,0.18381725251674652,4.724660873413086,-0.39594003558158875
38,1602654301.426727,30400,0.0,9.222271919250488,-0.34513166546821594,9.889442443847656,-0.32203909754753113
39,1602654301.7411828,31200,0.0,3.294372081756592,0.1826438158750534,3.457841634750366,-0.3461134135723114
40,1602654302.1784441,32000,0.0,14.040032386779785,0.4295142590999603,14.141016006469727,-0.5304972529411316
41,1602654302.5148687,32800,0.0,0.8289582133293152,0.042465560138225555,1.4242045879364014,-0.6377119421958923
42,1602654302.845179,33600,0.0,3.036487102508545,0.010170936584472656,3.551222801208496,-0.5249066948890686
43,1602654303.2601025,34400,0.0,13.812846183776855,0.4070012867450714,13.623953819274902,-0.2181093543767929
44,1602654303.6172554,35200,0.0,3.191876173019409,-0.3438795804977417,3.916940689086914,-0.38118478655815125
45,1602654303.9467769,36000,nan,2.5624806880950928,0.26945364475250244,2.746569871902466,-0.4535429775714874
46,1602654304.2689593,36800,0.0,5.578908920288086,-0.07276775687932968,6.081423759460449,-0.42974692583084106
47,1602654304.747331,37600,nan,2.2532994747161865,0.3899368345737457,2.37338924407959,-0.5100266933441162
48,1602654305.1608462,38400,0.0,6.3654375076293945,-0.021213684231042862,6.731329917907715,-0.3446790277957916
49,1602654305.5551033,39200,0.0,9.63342571258545,1.2337411642074585,8.874251365661621,-0.474566251039505
