# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602545705.5527308,0,2894.421875,nan,17.447317123413086,5.664031505584717,-0.07234697043895721,0.0,0.43648067116737366,0.43648067116737366,0.4732092022895813,0.8829821348190308,1506.50927734375,16.630769729614258,1348.24267578125
1,1602545708.727484,1920,72896.765625,nan,0.0,64313.99609375,-0.0,0.0,0.5689461827278137,0.5689461827278137,0.44251859188079834,0.8164761066436768,2314.33544921875,12.243976593017578,6256.19140625
2,1602545711.8856745,3840,2892.150634765625,nan,-6.923439599404446e-11,198.74945068359375,-7.319897455098506e-14,0.0,0.43151959776878357,0.43151959776878357,0.3893079459667206,0.7887323498725891,1544.874755859375,11.760990142822266,1136.765380859375
3,1602545714.9965208,5760,3134.16064453125,nan,-2.5520517255017694e-08,85.59263610839844,-2.2428690849007893e-11,0.0,0.15822859108448029,0.15822859108448029,0.24997231364250183,0.7267118096351624,1080.728515625,12.39048957824707,1955.4490966796875
4,1602545718.1606593,7680,2354.590576171875,nan,-0.003480120562016964,130.59461975097656,-3.2203563478105934e-06,0.0,0.18536917865276337,0.18536917865276337,0.2514834702014923,0.6889275908470154,832.6507568359375,11.64881706237793,1379.6998291015625
5,1602545721.5642772,9600,2124.81494140625,nan,-1.3199232816696167,10.118932723999023,-0.01491846889257431,0.0,0.15608571469783783,0.15608571469783783,0.19727997481822968,0.6548773050308228,926.4453735351562,11.550395965576172,1178.0350341796875
6,1602545724.7289772,11520,2019.580810546875,nan,0.2909531891345978,2.874201774597168,-0.00468400027602911,0.0,0.27216294407844543,0.27216294407844543,0.31791019439697266,0.6205342411994934,924.3521118164062,11.059874534606934,1081.0084228515625
7,1602545727.8737211,13440,2292.12744140625,nan,-4.493698361329734e-05,507.88116455078125,-1.9971114397776546e-06,0.0,0.1684454381465912,0.1684454381465912,0.18014541268348694,0.6121940016746521,590.4127197265625,12.262527465820312,1181.5711669921875
8,1602545730.881035,15360,1614.68798828125,nan,0.1536128669977188,6.2452239990234375,-0.009826542809605598,0.0,0.10390926897525787,0.10390926897525787,0.13034573197364807,0.5807437896728516,513.3446044921875,12.065071105957031,1082.8892822265625
9,1602545734.0163565,17280,1698.728271484375,nan,2.809222188204785e-09,50.992958068847656,-9.912189125049764e-12,0.0,0.17314596474170685,0.17314596474170685,0.22068211436271667,0.5588462352752686,531.3306884765625,11.644262313842773,1104.76025390625
10,1602545737.1443443,19200,1466.9107666015625,nan,0.0015612090937793255,23.570816040039062,-1.5039077879919205e-05,0.0,0.08532349765300751,0.08532349765300751,0.15896333754062653,0.4385935068130493,298.3304443359375,12.751485824584961,1132.2564697265625
11,1602545740.5186186,21120,2358.4228515625,nan,0.0,826.2727661132812,-9.945796492156003e-15,0.0,0.08712391555309296,0.08712391555309296,0.19302335381507874,0.3200174570083618,411.12762451171875,10.906237602233887,1110.1160888671875
12,1602545743.760912,23040,1376.301025390625,nan,0.3438272774219513,8.016437530517578,-0.004996461793780327,0.0,0.04597318917512894,0.04597318917512894,0.13718560338020325,0.27410048246383667,222.49148559570312,11.471659660339355,1133.982666015625
13,1602545747.0136628,24960,2216.72216796875,nan,0.0,338.58526611328125,-2.3752974413759897e-12,0.0,0.05202388018369675,0.05202388018369675,0.15509328246116638,0.22234617173671722,543.9929809570312,6.244184970855713,1327.8997802734375
14,1602545750.1272712,26880,1428.696533203125,nan,0.04344448819756508,4.607898712158203,-0.0007168836891651154,0.0,0.048736896365880966,0.048736896365880966,0.19348175823688507,0.21077176928520203,276.60052490234375,8.62302303314209,1138.8223876953125
15,1602545753.2888317,28800,1474.203857421875,nan,-3.683756411021477e-09,173.43943786621094,-6.546450881383947e-12,0.0,0.028070446103811264,0.028070446103811264,0.11298821866512299,0.188089981675148,211.99082946777344,7.595407009124756,1081.17822265625
16,1602545756.268221,30720,1486.661376953125,0.0,0.008110816590487957,20.963302612304688,-0.00017403002129867673,0.0,0.04516688361763954,0.04516688361763954,0.1667090505361557,0.19310174882411957,350.1168212890625,5.371662616729736,1110.20166015625
17,1602545759.4103506,32640,1298.5233154296875,0.0,0.2702907621860504,2.064648151397705,-0.013442841358482838,0.0,0.02403486892580986,0.02403486892580986,0.09543416649103165,0.19426409900188446,203.23013305664062,7.296399116516113,1085.67529296875
18,1602545762.1632485,34560,1383.4874267578125,0.0,-8.632981916889548e-06,65.69776153564453,-9.018360458412644e-08,0.0,0.029499363154172897,0.029499363154172897,0.10198194533586502,0.20872202515602112,227.4623260498047,6.2223100662231445,1084.10498046875
19,1602545765.341671,36480,1287.337890625,0.0,6.412256539078953e-07,10.536874771118164,-8.405967122371294e-08,0.0,0.033166009932756424,0.033166009932756424,0.10527269542217255,0.26339995861053467,145.61587524414062,7.185810089111328,1123.9993896484375
20,1602545768.035608,38400,1569.8935546875,0.0,0.000134572183014825,344.1312255859375,-9.749536502567935e-07,0.0,0.03413065895438194,0.03413065895438194,0.08710917830467224,0.3071167767047882,139.3580322265625,5.774637222290039,1080.6295166015625
21,1602545771.2111413,40320,1350.1314697265625,0.0,1.0047575235366821,11.106988906860352,-0.0056118955835700035,0.0,0.04824085906147957,0.04824085906147957,0.11983494460582733,0.29726558923721313,243.69998168945312,3.8459885120391846,1090.4793701171875
22,1602545774.3314526,42240,1937.6573486328125,0.0,-1.9956328324338864e-14,728.9548950195312,-1.5738118858330788e-15,0.0,0.0228208489716053,0.0228208489716053,0.05791115760803223,0.3028542697429657,121.29559326171875,5.266963005065918,1082.139892578125
23,1602545776.8489223,44160,1203.9847412109375,0.0,-0.017915941774845123,9.800788879394531,-7.279580313479528e-05,0.0,0.021708423271775246,0.021708423271775246,0.057971689850091934,0.27866286039352417,106.02324676513672,4.745633602142334,1083.43310546875
24,1602545779.9156184,46080,1232.520751953125,0.0,0.056445617228746414,6.425790786743164,-0.000524709583260119,0.0,0.022715073078870773,0.022715073078870773,0.0704282820224762,0.2561071515083313,134.6456298828125,4.911783695220947,1086.4815673828125
25,1602545782.800712,48000,1202.7279052734375,nan,-0.12101874500513077,12.167287826538086,-0.0005188367795199156,0.0,0.02345149964094162,0.02345149964094162,0.07843425869941711,0.22648407518863678,106.04610443115234,4.028947353363037,1080.6070556640625
26,1602545785.959368,49920,1174.947265625,nan,0.5778074264526367,0.13940519094467163,-0.02430359274148941,0.0,0.011951721273362637,0.011951721273362637,0.04332256317138672,0.21814391016960144,88.06328582763672,4.680206298828125,1081.5108642578125
27,1602545788.9921973,51840,1139.019287109375,nan,-0.0015220573404803872,3.0204622745513916,-2.6318786694901064e-05,0.0,0.0032862345688045025,0.0032862345688045025,0.013461560942232609,0.18864724040031433,51.00772476196289,4.8464484214782715,1080.146240234375
28,1602545792.1763277,53760,1280.958984375,0.0,0.12659461796283722,0.5455301403999329,-0.006211336702108383,0.0,0.010574559681117535,0.010574559681117535,0.044931188225746155,0.17865800857543945,193.5240936279297,1.9882997274398804,1084.7806396484375
29,1602545795.3187852,55680,1164.9473876953125,nan,-0.00015245632675942034,19.87543487548828,-3.151930968670058e-06,0.0,0.010554390959441662,0.010554390959441662,0.046307019889354706,0.17434877157211304,61.56839370727539,3.7250783443450928,1079.7786865234375
30,1602545798.4534676,57600,1135.6365966796875,nan,0.009044045582413673,0.05708715319633484,-0.02884857915341854,0.0,0.004810696002095938,0.004810696002095938,0.024364793673157692,0.1484839767217636,50.3817024230957,3.5955874919891357,1081.6220703125
31,1602545801.6880336,59520,1136.1865234375,nan,0.024898434057831764,0.526552140712738,-0.007939040660858154,0.0,0.003492755349725485,0.003492755349725485,0.01801152154803276,0.15763327479362488,50.188899993896484,3.242913007736206,1082.211181640625
32,1602545804.7664187,61440,1144.8651123046875,nan,-0.021874848753213882,1.4075051546096802,-0.0011111450148746371,0.0,0.0052824849262833595,0.0052824849262833595,0.030057258903980255,0.1351243555545807,60.86304473876953,2.506746768951416,1080.11083984375
33,1602545807.9359345,63360,1126.121337890625,nan,-0.034253474324941635,0.08011307567358017,-0.01716114766895771,0.0,0.0027018398977816105,0.0027018398977816105,0.015410605818033218,0.1377226710319519,39.442203521728516,2.65613055229187,1083.9942626953125
34,1602545811.2820134,65280,1122.0513916015625,nan,0.05819582939147949,0.019373174756765366,-0.05206882208585739,0.0,0.0008546843891963363,0.0008546843891963363,0.005000160075724125,0.12460241466760635,39.014404296875,2.518188238143921,1080.4932861328125
35,1602545814.614292,67200,1128.1673583984375,0.0,0.14213494956493378,0.0421384759247303,-0.022976068779826164,0.0,0.003224134212359786,0.003224134212359786,0.008876553736627102,0.25747406482696533,41.59644317626953,2.7297329902648926,1083.679931640625
36,1602545817.8156025,69120,1127.2850341796875,0.0,-0.24352498352527618,0.0427074134349823,-0.029183154925704002,0.0,0.0035500286612659693,0.0035500286612659693,0.01962289959192276,0.13695873320102692,44.50191879272461,2.7561891078948975,1080.2569580078125
37,1602545820.752913,71040,1120.1708984375,0.0,-0.04721337556838989,0.004991437308490276,-0.07917477190494537,0.0,0.0,0.0,0.0,0.17942340672016144,34.382144927978516,2.0309178829193115,1083.8792724609375
