# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1602433144.683394,0,1551.6617431640625,nan,0.8695324063301086,0.0918893814086914,-0.023708079010248184,0.0,0.03601609915494919,0.03601609915494919,0.08390475064516068,0.33338800072669983,1533.5858154296875,17.138147354125977
1,1602433146.6045487,1920,1891.3839111328125,nan,0.0,202.8773651123047,-0.0,0.0,0.01277105137705803,0.01277105137705803,0.047826800495386124,0.21228651702404022,1678.5936279296875,9.912911415100098
2,1602433156.7410192,3840,1690.1129150390625,nan,0.0,26.73346710205078,-4.937220914360056e-34,0.0,0.00919697992503643,0.00919697992503643,0.04314103350043297,0.16089971363544464,1656.9202880859375,6.459140777587891
3,1602433163.0080326,5760,1558.864013671875,nan,0.0,9.314431190490723,-9.723271131508518e-36,0.0,0.007345216348767281,0.007345216348767281,0.04009068384766579,0.13332708179950714,1544.36181640625,5.187740325927734
4,1602433165.2454128,7680,1025.5279541015625,nan,6.006063512003418e-21,36.86240005493164,-7.103662987971871e-17,0.0,0.009350523352622986,0.009350523352622986,0.06123357638716698,0.11513881385326385,982.4581298828125,6.2074174880981445
5,1602433167.3423235,9600,1180.161376953125,nan,-3.9379174920917137e-10,1.941769003868103,-3.8333070051521645e-09,0.0,0.003637379966676235,0.003637379966676235,0.027474617585539818,0.10085247457027435,1173.06494140625,5.154669761657715
6,1602433169.8608556,11520,883.8460083007812,nan,-4.801582517220548e-22,70.3792495727539,-7.26170227532939e-19,0.0,0.004501244984567165,0.004501244984567165,0.034647777676582336,0.09741255640983582,807.8919067382812,5.574838161468506
7,1602433172.1795094,13440,493.8820495605469,nan,-5.045058969699312e-06,0.1821022480726242,-7.569927220174577e-06,0.0,0.0033562739845365286,0.0033562739845365286,0.028188582509756088,0.08911044150590897,485.96282958984375,7.73712682723999
8,1602433174.6579962,15360,715.4507446289062,nan,0.0015502797905355692,0.5756226778030396,-0.00038858482730574906,0.0,0.004270351491868496,0.004270351491868496,0.03881676495075226,0.08463389426469803,710.1864013671875,4.687535762786865
9,1602433177.1378446,17280,454.83697509765625,nan,0.04263399913907051,1.2324873208999634,-0.015891924500465393,0.0,0.003066921140998602,0.003066921140998602,0.028129074722528458,0.08199872821569443,446.50128173828125,7.07647180557251
10,1602433179.5691805,19200,13727.923828125,nan,0.0,13154.6708984375,-0.0,0.0,0.00332994619384408,0.00332994619384408,0.029514862224459648,0.12348620593547821,566.3741455078125,6.878604888916016
11,1602433182.0506299,21120,595.2710571289062,nan,-7.241766434162855e-05,182.10401916503906,-3.7335305478336522e-06,0.0,0.004245772026479244,0.004245772026479244,0.024749131873250008,0.16014423966407776,403.3381652832031,9.828897476196289
12,1602433184.3986573,23040,519.450927734375,nan,0.0016205697320401669,147.1238555908203,-1.549960143165663e-05,0.0,0.002324866596609354,0.002324866596609354,0.016549881547689438,0.12456770241260529,365.1544494628906,7.171008586883545
13,1602433186.6781063,24960,387.2981872558594,nan,-0.003850578563287854,15.92961597442627,-0.0003469670773483813,0.0,0.0019070282578468323,0.0019070282578468323,0.017182042822241783,0.10464894771575928,364.9897766113281,6.382987976074219
14,1602433189.1950338,26880,383.6905517578125,nan,0.15622496604919434,131.5207061767578,-0.0012247589183971286,0.0,0.0018611086998134851,0.0018611086998134851,0.016011007130146027,0.098145991563797,244.6583709716797,7.3564910888671875
15,1602433191.4011672,28800,208.95843505859375,nan,-0.3365938663482666,0.9584494829177856,-0.05861697718501091,0.0,0.0026912426110357046,0.0026912426110357046,0.027104023844003677,0.08668700605630875,201.49720764160156,6.897996425628662
16,1602433193.9014,30720,238.07904052734375,0.0,0.44699862599372864,0.03311502933502197,-0.10000918805599213,0.0,0.002090019639581442,0.002090019639581442,0.021083561703562737,0.08856306225061417,231.82626342773438,5.872670650482178
17,1602433196.39108,32640,237.4111785888672,0.0,0.0,50.10799026489258,-2.7512740530255542e-08,0.0,0.0013905328232795,0.0013905328232795,0.015434416010975838,0.0837058499455452,182.0068359375,5.296353816986084
18,1602433198.8668077,34560,331.6118469238281,0.0,0.5821429491043091,1.9708292484283447,-0.0406641885638237,0.0,0.0027102732565253973,0.0027102732565253973,0.0178679246455431,0.11172334104776382,324.90228271484375,4.197255611419678
19,1602433201.3462703,36480,164.66856384277344,0.0,0.15689079463481903,1.285849928855896,-0.007359378505498171,0.0,0.0066678025759756565,0.0066678025759756565,0.016852229833602905,0.1658770889043808,157.63189697265625,5.601291656494141
20,1602433203.6736772,38400,282.0519104003906,0.0,0.005372984800487757,85.29373168945312,-4.289328717277385e-05,0.0,0.0014274349668994546,0.0014274349668994546,0.010580741800367832,0.1462545543909073,191.3629150390625,5.389929294586182
21,1602433205.9246502,40320,211.15582275390625,0.0,0.3389787971973419,0.010640451684594154,-0.10358098149299622,0.0,0.0029110971372574568,0.0029110971372574568,0.011635293252766132,0.1697315126657486,207.23501586914062,3.6747798919677734
22,1602433208.219692,42240,151.01910400390625,0.0,0.10231669247150421,0.19519416987895966,-0.010809814557433128,0.0,0.0019097584299743176,0.0019097584299743176,0.008494011126458645,0.16412392258644104,147.11769104003906,3.6147220134735107
23,1602433210.7525148,44160,221.6554412841797,0.0,-1.104079008102417,2.0536203384399414,-0.021812906488776207,0.0,0.0028837413992732763,0.0028837413992732763,0.009829026646912098,0.1612466275691986,218.24319458007812,2.484506607055664
24,1602433213.2289546,46080,136.7736358642578,nan,0.7745183706283569,0.08976728469133377,-0.15127313137054443,0.0,0.007440767250955105,0.007440767250955105,0.014786929823458195,0.24484719336032867,129.6702880859375,6.390337944030762
25,1602433215.7557771,48000,295.2479553222656,nan,16.58119773864746,3.2982964515686035,-0.07223238795995712,0.0,0.06254617124795914,0.06254617124795914,0.08505279570817947,0.48955070972442627,267.3124694824219,8.128246307373047
26,1602433218.2190268,49920,127.89863586425781,nan,2.3249518871307373,2.8211655616760254,-0.09702678769826889,0.0,0.019956886768341064,0.019956886768341064,0.03293443098664284,0.3387358784675598,115.09686279296875,7.752688884735107
27,1602433220.353907,51840,102.31497955322266,nan,0.3171316683292389,0.01600676402449608,-0.15397119522094727,0.0,0.00927058421075344,0.00927058421075344,0.019561821594834328,0.20504522323608398,96.94670867919922,5.1891045570373535
28,1602433222.500405,53760,146.674560546875,nan,0.1680760234594345,0.007111696992069483,-0.15447208285331726,0.0,0.00596515042707324,0.00596515042707324,0.017223063856363297,0.146964892745018,141.93743896484375,4.716393947601318
29,1602433225.031738,55680,74.77615356445312,nan,-0.10246005654335022,0.0006761744152754545,-0.15321248769760132,0.0,0.0012885647593066096,0.0012885647593066096,0.005490318406373262,0.11090810596942902,70.59690856933594,4.434241771697998
30,1602433227.3606496,57600,122.65380096435547,nan,2.70414400100708,0.11416778713464737,-0.15391726791858673,0.0,0.02676375024020672,0.02676375024020672,0.04094643145799637,0.3198888897895813,112.1725845336914,7.816824436187744
31,1602433229.63266,59520,108.11449432373047,nan,-0.2963288128376007,0.13223932683467865,-0.15146777033805847,0.0,0.01380756963044405,0.01380756963044405,0.021751059219241142,0.31644371151924133,99.73509216308594,8.694962501525879
32,1602433231.8771744,61440,54.243255615234375,nan,-0.3621681332588196,0.007197155617177486,-0.14256076514720917,0.0,0.003927348181605339,0.003927348181605339,0.007870524190366268,0.1532539278268814,50.13839340209961,4.602395057678223
33,1602433234.418821,63360,126.41458129882812,nan,1.464971661567688,0.07348901033401489,-0.14568357169628143,0.0,0.01886454038321972,0.01886454038321972,0.029101194813847542,0.37740185856819153,115.35958862304688,9.66221809387207
34,1602433236.9884207,65280,91.5337142944336,nan,-0.776375949382782,0.08903826028108597,-0.14932166039943695,0.0,0.016573015600442886,0.016573015600442886,0.02783782035112381,0.47208768129348755,80.884521484375,11.485854148864746
35,1602433239.3266318,67200,70.96217346191406,nan,0.6490897536277771,0.05708291009068489,-0.1442629098892212,0.0,0.018510548397898674,0.018510548397898674,0.030159257352352142,0.48209747672080994,61.420433044433594,8.97983455657959
36,1602433241.9360614,69120,81.33946228027344,nan,-0.7920939922332764,0.1749752014875412,-0.13668937981128693,0.0,0.012481721118092537,0.012481721118092537,0.01687851920723915,0.6126014590263367,66.55073547363281,15.542535781860352
37,1602433244.4818952,71040,119.19670104980469,3.3333332538604736,5.0413665771484375,0.20173975825309753,-0.12926524877548218,0.0052083334885537624,0.03893880546092987,0.04414713755249977,0.04537217691540718,0.802781343460083,93.89668273925781,20.18617820739746
38,1602433246.6241229,72960,89.2935791015625,3.3333332538604736,-6.3304243087768555,0.5685268044471741,-0.1432597041130066,0.010416666977107525,0.007983260788023472,0.018399925902485847,0.008273337967693806,0.8856750130653381,76.29191589355469,18.90682601928711
39,1602433249.1821444,74880,75.97836303710938,4.545454502105713,-0.23494577407836914,0.38783344626426697,-0.15073257684707642,0.02604166604578495,0.00476929871365428,0.030810963362455368,0.005041581112891436,0.8973809480667114,57.740989685058594,18.235214233398438
40,1602433251.7445486,76800,79.98456573486328,1.8181818723678589,-2.8020660877227783,0.09106916189193726,-0.14832043647766113,0.010416666977107525,0.0009392900974489748,0.011355956085026264,0.0009724522824399173,0.9038190245628357,64.24900817871094,18.59487533569336
41,1602433254.0956755,78720,63.83869934082031,4.285714149475098,-1.3962087631225586,0.053521979600191116,-0.1453636884689331,0.03125,0.00076812639599666,0.03201812878251076,0.0007797371363267303,0.9285380244255066,47.37642288208008,17.950326919555664
42,1602433256.600316,80640,73.08110809326172,3.076923131942749,-0.5297714471817017,0.037662409245967865,-0.14290717244148254,0.02083333395421505,0.0004914930905215442,0.021324826404452324,0.0004914930905215442,0.9603368043899536,56.2514533996582,17.464672088623047
43,1602433259.1973925,82560,55.176849365234375,0.0,-0.4910920560359955,0.02254309132695198,-0.14400818943977356,0.0,0.0003541178593877703,0.0003541178593877703,0.0003585669328458607,0.9041942358016968,38.78025436401367,17.009151458740234
44,1602433261.7792478,84480,66.13158416748047,8.0,0.09464386105537415,0.05593067780137062,-0.14541837573051453,0.02083333395421505,9.931085514836013e-05,0.020932642742991447,0.00010035633749794215,0.9068063497543335,49.00782012939453,17.118608474731445
45,1602433264.1489887,86400,50.75164031982422,3.75,0.363432377576828,0.0444025956094265,-0.1450490802526474,0.015625,0.00021529584773816168,0.01584029570221901,0.00021590384130831808,0.9126682281494141,33.70872497558594,16.780128479003906
46,1602433266.6931098,88320,61.073326110839844,2.857142925262451,-0.2548519968986511,0.04629616066813469,-0.14708311855793,0.010416666977107525,0.00014077502419240773,0.010557441972196102,0.00014092889614403248,0.9204026460647583,44.853553771972656,16.575414657592773
47,1602433268.879805,90240,42.4700927734375,1.6666666269302368,-0.5360651016235352,0.04844782501459122,-0.13922475278377533,0.0052083334885537624,0.00018382188864052296,0.005392155144363642,0.00018382188864052296,0.9281648993492126,26.419496536254883,16.677438735961914
48,1602433271.4672968,92160,59.815101623535156,5.0,0.4076668322086334,0.04194085672497749,-0.130927175283432,0.010416666977107525,0.0003288340521976352,0.010745499283075333,0.0003361438284628093,0.9129685163497925,42.74848937988281,16.747934341430664
49,1602433273.6395047,94080,42.594444274902344,10.0,0.17714637517929077,0.037087295204401016,-0.13915599882602692,0.010416666977107525,7.242595893330872e-05,0.010489092208445072,7.424688374157995e-05,0.8773747086524963,25.432634353637695,17.086734771728516
50,1602433276.223141,96000,59.44145202636719,3.3333332538604736,-0.7610449194908142,0.02570527419447899,-0.14044080674648285,0.0052083334885537624,6.306138675427064e-05,0.005271395202726126,6.449439388234168e-05,0.8530258536338806,43.29072570800781,17.02651023864746
51,1602433278.8021972,97920,38.757720947265625,0.0,-0.0176084041595459,0.009590989910066128,-0.14112849533557892,0.0,2.7870937628904358e-05,2.7870937628904358e-05,2.7870937628904358e-05,0.801012396812439,21.998783111572266,16.908082962036133
52,1602433280.9021106,99840,58.000831604003906,5.0,-0.04776323214173317,0.016867991536855698,-0.14382757246494293,0.0052083334885537624,7.122766874090303e-06,0.005215456243604422,7.122766874090303e-06,0.7724975943565369,41.324344635009766,16.851213455200195
53,1602433283.0736806,101760,36.01942443847656,0.0,-0.20163650810718536,0.006180147640407085,-0.14516930282115936,0.0,7.642708510502416e-07,7.642708510502416e-07,1.0219014257017989e-06,0.8109186887741089,19.709840774536133,16.650209426879883
