# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1603352054.1833143,0,2144.896728515625,nan,0.13172951340675354,0.015713173896074295,-0.004373464267700911,0.0,0.16586829721927643,0.16586829721927643,0.19543513655662537,0.5924497842788696,2128.6103515625,16.143211364746094
1,1603352057.7283406,1920,1906.9525146484375,3.3333332538604736,6.592055460524771e-13,0.0,-1.7703626065124212e-10,0.0052083334885537624,0.08853646367788315,0.09374479204416275,0.10964345186948776,0.47465652227401733,1896.6087646484375,10.343714714050293
2,1603352061.3821847,3840,1640.1180419921875,10.0,3.568063424582186e-17,0.0,-3.6011794674745135e-12,0.010416666977107525,0.0753752738237381,0.0857919380068779,0.09708290547132492,0.40000709891319275,1634.219970703125,5.898013591766357
3,1603352066.2785943,5760,1052.4569091796875,6.666666507720947,2.1610742839728702e-18,0.0,-6.116967284260089e-13,0.010416666977107525,0.0756862461566925,0.0861029177904129,0.09133443981409073,0.3999149203300476,1044.8316650390625,7.625190734863281
4,1603352071.511342,7680,945.9402465820312,6.0,0.0003030604275409132,0.2827757000923157,-5.335934929462383e-07,0.015625,0.07268879562616348,0.08831379562616348,0.09961339086294174,0.382153183221817,938.4786376953125,7.178539276123047
5,1603352074.67235,9600,627.8876953125,10.0,-9.63621103213224e-15,0.005942913703620434,-3.051027139266971e-11,0.010416666977107525,0.025776250287890434,0.036192916333675385,0.04700147733092308,0.26140713691711426,620.521728515625,7.360024929046631
6,1603352079.1427357,11520,544.030029296875,5.0,1.1394124754815493e-07,0.0,-6.981440980879938e-10,0.0052083334885537624,0.02271142788231373,0.027919761836528778,0.041472431272268295,0.25661709904670715,537.6064453125,6.423579692840576
7,1603352082.8754525,13440,390.412109375,5.0,9.396686664331355e-07,0.0,-8.332314282988307e-10,0.0052083334885537624,0.022275982424616814,0.027484314516186714,0.04391077533364296,0.23833708465099335,382.2671813964844,8.144935607910156
8,1603352087.586842,15360,320.5779724121094,5.0,-6.974259576963959e-06,1.8189894035458565e-12,-6.002390140480429e-09,0.0052083334885537624,0.02451315149664879,0.029721485450863838,0.04321099817752838,0.2859390079975128,312.9711608886719,7.606808662414551
9,1603352091.564708,17280,310.7196960449219,nan,0.00010503210069146007,0.049047548323869705,-5.8071066177944886e-08,0.0,0.011558862403035164,0.011558862403035164,0.025562111288309097,0.22657087445259094,303.0137939453125,7.656744480133057
10,1603352094.3717623,19200,74819.21875,nan,0.19022826850414276,74479.5859375,-0.002767776371911168,0.0,0.012405039742588997,0.012405039742588997,0.03361682593822479,0.1664445847272873,325.9614562988281,13.484231948852539
11,1603352096.7238467,21120,429.3910827636719,nan,2.4415836334228516,49.093692779541016,-0.005111875478178263,0.0,0.0015274685574695468,0.0015274685574695468,0.008763626217842102,0.11823771148920059,357.0237731933594,20.83711814880371
12,1603352099.4749002,23040,18668.861328125,nan,0.0,18405.654296875,-4.330824666867462e-16,0.0,0.002927852561697364,0.002927852561697364,0.02049519307911396,0.08581662178039551,246.69247436523438,16.514570236206055
13,1603352102.2330823,24960,1447.6396484375,nan,0.0,1239.0743408203125,-1.0089467039620104e-08,0.0,0.0011773459846153855,0.0011773459846153855,0.012702212668955326,0.07202445715665817,193.28561401367188,15.279662132263184
14,1603352104.4140408,26880,374.25238037109375,nan,-1.475978970527649,94.32890319824219,-0.015468282625079155,0.0,0.001297869486734271,0.001297869486734271,0.01566985622048378,0.06642673164606094,267.035888671875,14.379035949707031
15,1603352106.7388484,28800,151.6151885986328,0.0,1.4267998933792114,3.837862253189087,-0.08230485022068024,0.0,0.0007364413468167186,0.0007364413468167186,0.009316017851233482,0.06533040851354599,132.43991088867188,13.992921829223633
16,1603352109.420029,30720,180.89059448242188,nan,-0.7588701248168945,13.054452896118164,-0.024305811151862144,0.0,0.0006619211053475738,0.0006619211053475738,0.009072746150195599,0.0613788478076458,155.467041015625,13.1522798538208
17,1603352111.6987286,32640,116.4607162475586,nan,0.12416094541549683,0.026984626427292824,-0.09723575413227081,0.0,0.00022523208463098854,0.00022523208463098854,0.003559650154784322,0.0577332004904747,103.16639709472656,13.240412712097168
18,1603352114.3744226,34560,128.42347717285156,0.0,0.050873253494501114,0.06130518019199371,-0.04000651463866234,0.0,0.0006995938601903617,0.0006995938601903617,0.007873496040701866,0.06297913193702698,115.78746032714844,12.563838958740234
19,1603352117.11331,36480,91.62130737304688,0.0,-0.14630116522312164,1.0413885116577148,-0.02561984769999981,0.0,0.0002670289541129023,0.0002670289541129023,0.0035558135714381933,0.06488161534070969,78.1313247680664,12.620516777038574
20,1603352119.8152368,38400,132.18310546875,0.0,0.4679149389266968,1.5008832216262817,-0.0489448606967926,0.0,0.0007687306497246027,0.0007687306497246027,0.005786391440778971,0.09599292278289795,116.80899810791016,13.454254150390625
21,1603352122.3410587,40320,107.82667541503906,0.0,0.1646784245967865,0.043519921600818634,-0.11098019033670425,0.0,0.0015014871023595333,0.0015014871023595333,0.010116975754499435,0.08939296752214432,94.8746109008789,12.854846000671387
22,1603352124.8533866,42240,57.83740234375,0.0,-0.1811816692352295,0.07789650559425354,-0.07150375097990036,0.0,0.0002593574463389814,0.0002593574463389814,0.0019907793030142784,0.13186030089855194,46.48991394042969,11.522278785705566
23,1603352127.5911787,44160,97.08811950683594,0.0,0.05046623945236206,0.0004631214833352715,-0.15877163410186768,0.0,0.000579988700337708,0.000579988700337708,0.0024971752427518368,0.10172023624181747,86.13371276855469,11.062251091003418
24,1603352130.2521286,46080,119.34156036376953,0.0,2.5615382194519043,0.09239596128463745,-0.152408167719841,0.0,0.013399099931120872,0.013399099931120872,0.020422616973519325,0.3846295475959778,104.83280181884766,12.007231712341309
25,1603352132.8917487,48000,92.74215698242188,0.0,1.4627341032028198,0.3833078145980835,-0.09460882842540741,0.0,0.005613860674202442,0.005613860674202442,0.007613547146320343,0.44884541630744934,79.23873138427734,11.751992225646973
26,1603352135.4367766,49920,63.389102935791016,5.0,0.046090126037597656,0.23775897920131683,-0.15104162693023682,0.0052083334885537624,0.002239067107439041,0.007447400130331516,0.003244925756007433,0.3485986888408661,52.80052185058594,10.455772399902344
27,1603352138.155763,51840,60.160484313964844,0.0,0.13735562562942505,0.170534148812294,-0.14158539474010468,0.0,0.0010695012751966715,0.0010695012751966715,0.0010995258344337344,0.38399091362953186,49.76203536987305,10.232142448425293
28,1603352140.6126814,53760,53.70099639892578,0.0,-0.07692757248878479,0.013969206251204014,-0.15868428349494934,0.0,3.031047890544869e-05,3.031047890544869e-05,3.406598625588231e-05,0.27212923765182495,44.47422409057617,9.44841480255127
29,1603352143.367316,55680,58.26987838745117,nan,0.5336845517158508,0.10572366416454315,-0.14577962458133698,0.0,4.515800537774339e-05,4.515800537774339e-05,5.962112481938675e-05,0.3804910480976105,48.1086311340332,9.667616844177246
