# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602545663.795141,0,3708.8076171875,nan,-0.07088635861873627,0.05701903626322746,-0.004589250311255455,0.0,0.000168428203323856,0.000168428203323856,0.29657337069511414,0.45497918128967285,3462.3271484375,30.65349769592285,215.8455810546875
1,1602545670.8009095,3200,2625.891357421875,nan,-4.9297553858085275e-39,0.0,-2.129973665773722e-43,0.0,0.00014000041119288653,0.00014000041119288653,0.21681562066078186,0.34604203701019287,2582.159423828125,23.80817413330078,19.923749923706055
2,1602545675.16992,6400,2557.168701171875,0.0,-5.416196529520387e-39,0.0,-1.6255062186167878e-43,0.0,0.0001274216192541644,0.0001274216192541644,0.24042804539203644,0.2659950256347656,2503.151611328125,18.519512176513672,35.49753952026367
3,1602545679.8784366,9600,2272.302001953125,nan,1.3065496686594946e-39,0.0,-1.2191296639625909e-43,0.0,0.0001034999659168534,0.0001034999659168534,0.20647616684436798,0.26079562306404114,2237.398193359375,14.8868408203125,20.016887664794922
4,1602545684.9706662,12800,1561.512939453125,nan,5.1084237426068704e-39,0.0,-2.396220373995437e-43,0.0,0.00012772185436915606,0.00012772185436915606,0.22071197628974915,0.2933153212070465,1499.887939453125,17.067161560058594,44.55783462524414
5,1602545689.969833,16000,1722.4166259765625,nan,-3.5315490266750896e-38,0.0,-2.312142466135948e-43,0.0,9.127076918957755e-05,9.127076918957755e-05,0.17590653896331787,0.2440337985754013,1688.527099609375,15.26867961883545,18.620847702026367
6,1602545694.7116375,19200,1335.2938232421875,0.0,1.091139266126555e-39,0.0,-2.6484540975739043e-43,0.0,9.071281965589151e-05,9.071281965589151e-05,0.2149483561515808,0.22167091071605682,1302.9876708984375,14.120370864868164,18.185749053955078
7,1602545699.5090148,22400,11525.3154296875,0.0,-1.4206055545662844e-39,10300.62109375,-2.1860256043467146e-43,0.0,6.680993101326749e-05,6.680993101326749e-05,0.16059991717338562,0.22703246772289276,1186.121337890625,17.333127975463867,21.23988914489746
8,1602545704.2281888,25600,1199.6676025390625,0.0,-5.654507160186768,18.784826278686523,-0.004171431064605713,0.0,2.9771395929856226e-05,2.9771395929856226e-05,0.06933064758777618,0.20313604176044464,1138.4564208984375,24.000242233276367,24.084848403930664
9,1602545708.059901,28800,1047.245361328125,nan,1.1905599222122241e-23,0.0,-9.15818507667352e-17,0.0,6.959172083043086e-08,6.959172083043086e-08,4.791309766005725e-05,0.12087835371494293,996.2680053710938,26.230697631835938,24.746625900268555
10,1602545712.7032259,32000,882.753662109375,nan,1.3296468283109995e-23,0.0,-9.722332180602035e-17,0.0,0.0,0.0,0.0,0.07586288452148438,838.944091796875,25.457456588745117,18.352087020874023
11,1602545717.0871253,35200,823.4568481445312,0.0,7.861216646137224e-24,0.0,-7.05091334943712e-17,0.0,2.93175389742828e-07,2.93175389742828e-07,0.0001968761789612472,0.06587879359722137,781.9275512695312,23.57100486755371,17.958295822143555
12,1602545721.2522259,38400,723.3687133789062,0.0,1.077312312836144e-23,0.0,-7.589840709105628e-17,0.0,1.082679546016152e-06,1.082679546016152e-06,0.0007243339787237346,0.07122929394245148,681.762939453125,23.199644088745117,18.406145095825195
13,1602545725.2355144,41600,583.0918579101562,0.0,2.2686172352872588e-23,0.0,-1.1083530670451947e-16,0.0,1.6311915942424093e-06,1.6311915942424093e-06,0.0011067208833992481,0.09812061488628387,539.3682861328125,22.9913387298584,20.73223114013672
14,1602545729.853632,44800,675.9362182617188,0.0,6.475705133987278e-24,0.0,-6.439608347914711e-17,0.0,6.120899911365996e-07,6.120899911365996e-07,0.0004135700291953981,0.11516073346138,634.7839965820312,22.27168846130371,18.88055992126465
15,1602545733.8304176,48000,515.5637817382812,0.0,9.161956770981666e-24,0.0,-7.890161534510561e-17,0.0,4.057399110024562e-07,4.057399110024562e-07,0.00027125683845952153,0.09249074757099152,474.42510986328125,22.438016891479492,18.700626373291016
16,1602545738.528561,51200,738.525146484375,nan,4.0647900131726324e-24,0.0,-5.1203591647775684e-17,0.0,9.459390071242524e-08,9.459390071242524e-08,6.317095539998263e-05,0.07375961542129517,698.2100830078125,20.78331756591797,19.531719207763672
17,1602545743.2636476,54400,628.6093139648438,0.0,-1.45570794323922e-14,44.06578063964844,-2.3440932719125357e-16,0.0,8.393156167585403e-05,8.393156167585403e-05,0.08045216649770737,0.3092721998691559,540.2608032226562,24.416406631469727,19.866308212280273
18,1602545747.8227856,57600,30983.12890625,0.0,-1.1906252448631068e-16,30234.7421875,-1.089472696086391e-12,0.0,7.959369395393878e-05,7.959369395393878e-05,0.07513535022735596,0.348796010017395,702.1190795898438,27.858713150024414,18.40882682800293
19,1602545751.8744297,60800,702.9813232421875,0.0,-0.1667497605085373,148.9225311279297,-9.640458301873878e-05,0.0,4.310230906412471e-06,4.310230906412471e-06,0.005297462921589613,0.11592381447553635,508.64788818359375,27.519384384155273,18.0583553314209
20,1602545756.326808,64000,626.3280639648438,nan,6.1508870124816895,59.17009353637695,-0.0019233075436204672,0.0,2.0127464495089953e-07,2.0127464495089953e-07,0.00024044991005212069,0.08194657415151596,514.1285400390625,26.511545181274414,20.36890983581543
21,1602545760.8556626,67200,4491.27978515625,0.0,0.0,3885.240478515625,-6.328372825770145e-10,0.0,5.860795226908522e-08,5.860795226908522e-08,3.918664515367709e-05,0.06378600746393204,561.3598022460938,25.776227951049805,18.903133392333984
22,1602545764.7830322,70400,489.4864501953125,nan,0.009546009823679924,117.10354614257812,-6.444460723287193e-06,0.0,0.0,0.0,0.0,0.05541899800300598,324.8460693359375,25.33900260925293,22.18828773498535
23,1602545768.7887967,73600,711.52099609375,0.0,-1.6010760068893433,26.23075294494629,-0.001561811426654458,0.0,5.854454343534599e-07,5.854454343534599e-07,0.00039124340401031077,0.05845733731985092,642.7286376953125,24.533906936645508,19.630321502685547
24,1602545773.5401154,76800,858.868896484375,0.0,2.3268771171569824,549.7562866210938,-0.0005062042037025094,0.0,7.256376761688443e-07,7.256376761688443e-07,0.0004909170675091445,0.05390080809593201,263.2709655761719,24.556852340698242,18.958450317382812
25,1602545778.1734228,80000,1497.834716796875,0.0,-0.015991080552339554,1021.9739379882812,-3.704038135765586e-06,0.0,5.899477173443302e-07,5.899477173443302e-07,0.00039714790182188153,0.08707495033740997,433.95361328125,23.827180862426758,18.095951080322266
26,1602545782.844463,83200,348.46600341796875,0.0,3.2321174144744873,0.4880526661872864,-0.016849335283041,0.0,9.013305657390447e-07,9.013305657390447e-07,0.0006072795949876308,0.08999109268188477,302.0123596191406,24.345439910888672,18.404903411865234
