# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602671554.1876001,0,2989.593017578125,nan,-6.675780296325684,4.023509979248047,-0.007184136193245649,0.0,6.167037645354867e-05,6.167037645354867e-05,0.1254456490278244,0.331516295671463,2751.975341796875,25.97381019592285,214.30313110351562
1,1602671559.4048405,3200,3676.2890625,nan,0.0,63.33344650268555,-2.228064558276459e-43,0.0,5.1704006182262674e-05,5.1704006182262674e-05,0.09241601824760437,0.24780572950839996,3571.8828125,20.545684814453125,20.52702522277832
2,1602671564.6012468,6400,2355.298095703125,nan,-0.00024909747298806906,4.55124568939209,-3.261085566919064e-06,0.0,2.2834954506834038e-05,2.2834954506834038e-05,0.0726739913225174,0.1719805896282196,2216.979736328125,16.57391929626465,117.19329833984375
3,1602671569.790825,9600,2329.2275390625,0.0,2.84863109392252e-14,19.485599517822266,-7.735294176025587e-12,0.0,2.5292340069427155e-05,2.5292340069427155e-05,0.05616864189505577,0.1768801361322403,2247.81494140625,17.314754486083984,44.61228942871094
4,1602671574.9234767,12800,1625.62255859375,nan,0.28291037678718567,0.2452172189950943,-0.00011352739238645881,0.0,3.2799904147395864e-05,3.2799904147395864e-05,0.07165458053350449,0.16728435456752777,1586.49365234375,18.613309860229492,19.987701416015625
5,1602671580.1387253,16000,1671.64453125,nan,-1.1339029758541952e-12,0.0,-1.1045216824490112e-10,0.0,2.8476542865973897e-05,2.8476542865973897e-05,0.07794778048992157,0.1512756049633026,1631.5147705078125,15.8153657913208,24.314495086669922
6,1602671585.437938,19200,1080.433349609375,nan,-9.169772146461197e-13,0.0,-1.2618879552395157e-10,0.0,2.810501064232085e-05,2.810501064232085e-05,0.07623675465583801,0.13710017502307892,1041.823486328125,17.215620040893555,21.394336700439453
7,1602671590.3232799,22400,1099.4136962890625,0.0,-1.9126835670846276e-09,0.0,-2.0525810218163798e-10,0.0,3.472828393569216e-05,3.472828393569216e-05,0.07517656683921814,0.1502227634191513,1064.6939697265625,16.54774284362793,18.171972274780273
8,1602671595.4311457,25600,1443.8287353515625,nan,-1.2332257881553232e-08,0.0,-1.8708318227922405e-10,0.0,3.5362249036552384e-05,3.5362249036552384e-05,0.07232563197612762,0.1535089761018753,1408.101806640625,14.350272178649902,21.376659393310547
9,1602671600.522085,28800,902.9974975585938,0.0,-3.037716996348583e-12,0.0,-1.4253531688268595e-10,0.0,1.8262311641592532e-05,1.8262311641592532e-05,0.05378127470612526,0.1160406842827797,855.939453125,17.725141525268555,29.332876205444336
10,1602671605.6147864,32000,1637.0408935546875,0.25,12.391054153442383,235.86883544921875,-0.00020861111988779157,0.012500000186264515,0.0002711036941036582,0.012771105393767357,0.21621131896972656,0.39947348833084106,1314.5908203125,22.365875244140625,51.824615478515625
11,1602671610.852683,35200,1193.680908203125,1.3636363744735718,1.5792527198791504,404.2253723144531,-0.001231649424880743,0.03750000149011612,0.00018987656221725047,0.037689875811338425,0.14462244510650635,0.4950169026851654,683.565185546875,27.80730628967285,76.5050048828125
12,1602671616.0160604,38400,1925.3450927734375,1.6666666269302368,-0.18245120346546173,1225.2861328125,-2.3184080419014208e-05,0.012500000186264515,0.00010042368376161903,0.012600422836840153,0.08776487410068512,0.2897394299507141,633.4899291992188,25.417261123657227,41.334381103515625
13,1602671621.1564429,41600,1043.7890625,1.4285714626312256,0.35180848836898804,393.56219482421875,-0.0004084822430741042,0.015625,7.675430970266461e-05,0.01570175588130951,0.07050281763076782,0.2454310953617096,583.4971923828125,24.953357696533203,41.42489242553711
14,1602671626.1129553,44800,765.4298095703125,0.0,-1.6839388608932495,64.86954498291016,-0.005645552184432745,0.0031250000465661287,2.9533261113101617e-05,0.003154533449560404,0.03644600510597229,0.2299622744321823,632.3052978515625,26.212820053100586,43.73176193237305
15,1602671631.2819335,48000,701.6793212890625,10.0,-0.2506219744682312,0.11294998228549957,-0.025468366220593452,0.0,2.992081135744229e-05,2.992081135744229e-05,0.033932268619537354,0.2536328136920929,653.2672119140625,28.335098266601562,20.240163803100586
16,1602671635.543839,51200,758.545654296875,nan,-0.04514653608202934,0.005403055809438229,-0.024891838431358337,0.0,6.484551704488695e-06,6.484551704488695e-06,0.015910418704152107,0.12723346054553986,714.96337890625,25.582075119018555,18.064817428588867
17,1602671640.7049818,54400,725.6920166015625,nan,0.027995754033327103,6.4211360495392e-07,-0.018410153687000275,0.0,2.570824335634825e-06,2.570824335634825e-06,0.018312925472855568,0.09458179771900177,680.9069213867188,25.606735229492188,19.168743133544922
18,1602671645.908684,57600,502.04791259765625,nan,0.10747640579938889,0.000286648515611887,-0.025900909677147865,0.0,2.717324605328031e-06,2.717324605328031e-06,0.022887930274009705,0.07963114976882935,459.598876953125,24.29181480407715,18.07537841796875
19,1602671651.1031485,60800,616.921875,nan,-0.14217843115329742,1.1081891059875488,-0.0008490555337630212,0.0,7.760879157103773e-07,7.760879157103773e-07,0.007152655627578497,0.07277604192495346,574.3864135742188,23.348325729370117,18.221961975097656
20,1602671656.08362,64000,580.5282592773438,2.5,3.1268117427825928,59.619659423828125,-0.00242179399356246,0.03125,0.00021187194215599447,0.031461868435144424,0.15219318866729736,0.46894317865371704,462.5904541015625,23.533435821533203,31.660348892211914
21,1602671660.9188383,67200,556.758544921875,3.809523820877075,-1.3013170957565308,46.358455657958984,-0.014137432910501957,0.06562499701976776,0.00024342769756913185,0.06586842238903046,0.1715039312839508,0.6229246854782104,432.0045471191406,23.01367950439453,56.69732666015625
22,1602671665.8207529,70400,465.83770751953125,1.6666666269302368,2.568302869796753,13.516127586364746,-0.01749809831380844,0.02187499962747097,9.97113820631057e-05,0.021974710747599602,0.07812922447919846,0.39375171065330505,397.3575134277344,22.419431686401367,29.993833541870117
23,1602671671.0548632,73600,399.0143737792969,4.285714149475098,0.0026011094450950623,2.7503442764282227,-0.018943853676319122,0.00937500037252903,2.7226989914197475e-05,0.009402227587997913,0.02817394770681858,0.19223850965499878,339.69549560546875,23.091556549072266,33.49331283569336
24,1602671676.3050206,76800,598.1698608398438,5.769230842590332,5.4595417976379395,1.5539541244506836,-0.022831479087471962,0.04374999925494194,0.00022741647262591869,0.04397742450237274,0.16235332190990448,0.5810338258743286,521.4793090820312,22.115903854370117,47.58396530151367
25,1602671681.1843777,80000,491.9681091308594,4.117647171020508,6.518599987030029,2.3028783798217773,-0.016457639634609222,0.06562499701976776,0.00029317394364625216,0.06591817736625671,0.20447592437267303,0.8953328728675842,422.20477294921875,24.57048797607422,36.387821197509766
26,1602671686.4143834,83200,463.67852783203125,4.594594478607178,-9.907269477844238,3.3831214904785156,-0.016444196924567223,0.04374999925494194,0.00025184103287756443,0.04400184005498886,0.17292970418930054,0.8794186115264893,425.6304931640625,24.6350154876709,19.953603744506836
27,1602671691.7560422,86400,417.1260070800781,7.407407283782959,2.8948683738708496,2.544464111328125,-0.008295266889035702,0.03750000149011612,0.0002514611987862736,0.0377514623105526,0.174128919839859,0.8908568620681763,362.2671813964844,24.950475692749023,24.47732162475586
28,1602671697.1234486,89600,381.0896911621094,1.875,-1.2195063829421997,0.7996721267700195,-0.01920541748404503,0.01875000074505806,0.0001509056455688551,0.018900906667113304,0.10524654388427734,0.7090694904327393,338.133544921875,24.191898345947266,19.20327377319336
29,1602671701.9965687,92800,322.08172607421875,4.285714149475098,0.7781429290771484,0.11099248379468918,-0.013037149794399738,0.00937500037252903,0.0001458980841562152,0.009520897641777992,0.10359662771224976,0.7271389961242676,278.507568359375,23.785266876220703,18.91277503967285
30,1602671707.2968528,96000,376.9627685546875,2.4242424964904785,1.1776995658874512,0.13955916464328766,-0.016286293044686317,0.02812499925494194,0.00021593284327536821,0.028340933844447136,0.14878138899803162,0.8383304476737976,328.57684326171875,22.11911392211914,24.965856552124023
31,1602671712.6024392,99200,313.0018615722656,4.42307710647583,1.7657573223114014,0.46737509965896606,-0.014197316952049732,0.0625,0.00021150517568457872,0.06271150708198547,0.14572657644748688,0.9115131497383118,268.5196533203125,23.535276412963867,18.728010177612305
32,1602671717.8673363,102400,343.2023620605469,2.7659573554992676,2.1738440990448,2.1943323612213135,-0.006473779212683439,0.03750000149011612,0.0002476275840308517,0.03774762526154518,0.16703543066978455,0.951876699924469,298.3392639160156,23.60929298400879,16.892118453979492
33,1602671723.1774566,105600,290.8143310546875,3.9473683834075928,0.6117740273475647,1.3918702602386475,-0.010505996644496918,0.05000000074505806,0.00017252711404580623,0.050172530114650726,0.11828768998384476,0.8783309459686279,248.46495056152344,24.062963485717773,16.293283462524414
34,1602671728.4618654,108800,314.6814270019531,3.3333332538604736,-0.9269302487373352,0.39277327060699463,-0.01037347037345171,0.02812499925494194,0.00016252376371994615,0.028287522494792938,0.11171755194664001,0.8616588115692139,275.0290222167969,24.4217586517334,15.775168418884277
35,1602671733.790525,112000,268.5618591308594,1.8421052694320679,0.45825839042663574,0.27985626459121704,-0.012485240586102009,0.03750000149011612,0.00015272108430508524,0.037652719765901566,0.10499219596385956,0.8881198763847351,227.7322998046875,24.3698787689209,15.734062194824219
36,1602671739.08954,115200,247.35902404785156,2.4528300762176514,-1.571631908416748,0.742361843585968,-0.009828316979110241,0.04062499850988388,0.00015455024549737573,0.04077955335378647,0.10584671050310135,0.8795323967933655,209.96658325195312,23.124692916870117,15.10684871673584
37,1602671744.3762488,118400,242.80303955078125,4.901960849761963,3.1977105140686035,0.7405672073364258,-0.009924342855811119,0.08124999701976776,0.00013758163549937308,0.08138757944107056,0.09514007717370987,0.9122488498687744,200.00450134277344,23.854040145874023,15.016148567199707
38,1602671749.6715443,121600,227.36825561523438,5.106382846832275,-1.7001100778579712,1.0634688138961792,-0.01168190035969019,0.08124999701976776,0.00014478899538516998,0.08139477670192719,0.09888289123773575,0.9246324300765991,190.76239013671875,24.003196716308594,13.251004219055176
39,1602671754.850374,124800,210.57403564453125,3.620689630508423,0.7787196040153503,0.5452327132225037,-0.01226841565221548,0.05937499925494194,0.00012099555897293612,0.05949599668383598,0.08360842615365982,0.8911323547363281,170.17416381835938,23.910118103027344,15.178065299987793
40,1602671759.989464,128000,207.6671905517578,2.264150857925415,-1.2708640098571777,0.9909107089042664,-0.009585773572325706,0.0625,0.0001289908541366458,0.06262899190187454,0.08861221373081207,0.8753048777580261,169.91497802734375,22.69458770751953,15.347159385681152
41,1602671765.1066751,131200,187.5650634765625,4.6875,2.0646450519561768,0.8265989422798157,-0.010399929247796535,0.07187499850988388,9.651105938246474e-05,0.07197151333093643,0.06634519249200821,0.8445413708686829,148.02853393554688,22.70927619934082,13.9464111328125
42,1602671770.3728228,134400,154.51370239257812,4.629629611968994,-3.0399210453033447,1.6697741746902466,-0.009400044567883015,0.06875000149011612,9.77563759079203e-05,0.06884775310754776,0.0678696483373642,0.7653228044509888,119.7884521484375,21.220916748046875,14.883885383605957
43,1602671775.5325828,137600,188.63296508789062,3.4426229000091553,6.234755039215088,1.314458966255188,-0.012760194949805737,0.07187499850988388,0.0001067663833964616,0.0719817653298378,0.07323721796274185,0.8772846460342407,145.2251739501953,22.235469818115234,13.635870933532715
44,1602671780.9131372,140800,145.91807556152344,4.0,-1.8559848070144653,0.9056640863418579,-0.007628877181559801,0.08124999701976776,9.534323908155784e-05,0.08134535700082779,0.06564697623252869,0.8430202603340149,111.2938003540039,22.055490493774414,13.5267333984375
