# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1603708461.4449205,0,3103.46240234375,nan,0.17928409576416016,0.04139265790581703,-0.019998902454972267,0.0,0.14290492236614227,0.14290492236614227,0.21186375617980957,0.441523015499115,1733.4473876953125,16.77854347229004,1353.03564453125
1,1603708463.9963465,1920,8645.8427734375,nan,0.0,56.46642303466797,-0.0,0.0,0.1587952822446823,0.1587952822446823,0.18597975373268127,0.3368222415447235,2485.22998046875,8.360219955444336,6095.78662109375
2,1603708466.656624,3840,2958.564208984375,nan,-3.208826260259201e-10,3.710742235183716,-3.5448685653527434e-10,0.0,0.0740356370806694,0.0740356370806694,0.1672576367855072,0.23900015652179718,1715.767578125,6.947874546051025,1232.1380615234375
3,1603708469.3585365,5760,3858.4892578125,nan,-2.41309544435353e-06,1.3511790037155151,-1.964332767556698e-07,0.0,0.08415117859840393,0.08415117859840393,0.1800050139427185,0.18860097229480743,1258.788818359375,4.715836524963379,2593.633544921875
4,1603708471.662851,7680,2206.2529296875,nan,3.476234015201726e-15,4.460817813873291,-4.979302238675718e-16,0.0,0.04146307706832886,0.04146307706832886,0.12355775386095047,0.18865862488746643,909.8447265625,6.8477325439453125,1285.0997314453125
5,1603708474.4009912,9600,2277.106201171875,nan,-0.02721523679792881,0.10753096640110016,-0.002798463450744748,0.0,0.04245493933558464,0.04245493933558464,0.1134629026055336,0.15795297920703888,846.4495239257812,5.888087749481201,1424.691162109375
6,1603708476.6676466,11520,1975.1937255859375,nan,3.130793571472168,1.8841180801391602,-0.054444994777441025,0.0,0.02244207076728344,0.02244207076728344,0.09140128642320633,0.14568938314914703,739.43359375,5.667697906494141,1225.1319580078125
7,1603708479.4489238,13440,1658.4481201171875,nan,-0.4108799695968628,0.04328884184360504,-0.0356937013566494,0.0,0.020792286843061447,0.020792286843061447,0.07535915076732635,0.13213706016540527,567.64208984375,6.831716060638428,1084.3775634765625
8,1603708481.606283,15360,2071.656982421875,nan,-1.282101857214002e-05,0.18364153802394867,-4.312527380534448e-05,0.0,0.035031456500291824,0.035031456500291824,0.14090962707996368,0.1398433893918991,943.6754760742188,5.300163269042969,1122.4976806640625
9,1603708483.7066534,17280,1609.794677734375,nan,0.00037175806937739253,0.02915131486952305,-0.0005908110179007053,0.0,0.022308504208922386,0.022308504208922386,0.07625853270292282,0.1493036150932312,515.1561279296875,6.728202819824219,1087.8814697265625
