# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1602448645.8339632,0,1653.7947998046875,0.0,-0.011281443759799004,1.2216205504955724e-05,-0.013577871955931187,0.0015625000232830644,0.027396652847528458,0.028959153220057487,0.05850393325090408,0.4318784475326538,1637.425048828125,16.39463996887207
1,1602448649.060224,1920,1359.2640380859375,0.0,0.0,0.0,-0.0,0.0,0.015620904043316841,0.015620904043316841,0.03454311937093735,0.2992452085018158,1348.349609375,10.914375305175781
2,1602448652.0994177,3840,880.3765869140625,nan,0.0,0.0,-0.0,0.0,0.013927415944635868,0.013927415944635868,0.03286334499716759,0.28187650442123413,870.095947265625,10.28063678741455
3,1602448654.878106,5760,621.3650512695312,0.0,0.0,0.0,-0.0,0.0,0.008983018808066845,0.008983018808066845,0.022878719493746758,0.21029071509838104,611.5401611328125,9.824896812438965
4,1602448657.7571094,7680,535.2113647460938,nan,0.0,0.0,-0.0,0.0,0.004934751894325018,0.004934751894325018,0.013822926208376884,0.1727508008480072,526.0026245117188,9.208715438842773
5,1602448660.79105,9600,416.3376770019531,0.0,0.0,0.002779040252789855,-0.0,0.0,0.006298192776739597,0.006298192776739597,0.01549722533673048,0.14427930116653442,406.4486083984375,9.886295318603516
6,1602448664.0828865,11520,400.9639587402344,nan,0.0,0.0,-0.0,0.0,0.0029792359564453363,0.0029792359564453363,0.010876164771616459,0.13370737433433533,391.2318115234375,9.732155799865723
7,1602448667.198238,13440,443.78125,nan,0.0,0.0,-0.0,0.0,0.005094689317047596,0.005094689317047596,0.013055002316832542,0.14282703399658203,434.8099060058594,8.971328735351562
8,1602448670.0038722,15360,285.61505126953125,nan,0.0,0.0,-0.0,0.0,0.0029314598068594933,0.0029314598068594933,0.010511752218008041,0.12909722328186035,276.224609375,9.390440940856934
9,1602448672.8309708,17280,271.14984130859375,nan,0.0,0.0,-0.0,0.0,0.0026865662075579166,0.0026865662075579166,0.008314571343362331,0.1397617906332016,261.6357421875,9.51411247253418
