# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1602455305.2474294,0,1921.3629150390625,0.0,0.04241619631648064,0.0003219531790819019,-0.05660895258188248,0.0,0.024238506332039833,0.024238506332039833,0.0488911010324955,0.365599662065506,1904.4390869140625,16.937698364257812
1,1602455307.8053582,1920,1408.1427001953125,0.0,-4.390668095766159e-08,0.0015045545296743512,-0.007418481633067131,0.0,0.01991206966340542,0.01991206966340542,0.04024803265929222,0.28437477350234985,1395.5450439453125,12.603486061096191
2,1602455310.5380092,3840,995.7012939453125,nan,-0.009043366648256779,1.6400250387960114e-05,-7.785088382661343e-05,0.0,0.014638262800872326,0.014638262800872326,0.03017699345946312,0.26642701029777527,985.1995239257812,10.510846138000488
3,1602455313.4456186,5760,851.8809814453125,0.0,9.627451864424683e-15,0.0,-1.7885290416654737e-14,0.0052083334885537624,0.015015095472335815,0.020223429426550865,0.031105730682611465,0.2584780156612396,842.3487548828125,9.532251358032227
4,1602455316.123757,7680,600.7642822265625,nan,3.1884520024227925e-10,0.0,-3.75809661168347e-11,0.0,0.010214614681899548,0.010214614681899548,0.02148718759417534,0.19413518905639648,590.3438720703125,10.42043399810791
5,1602455319.1114,9600,699.3146362304688,nan,8.221542661044615e-16,0.0,-2.2364047852512945e-15,0.0,0.0036997536662966013,0.0036997536662966013,0.01023972686380148,0.14028897881507874,690.0997924804688,9.214851379394531
6,1602455322.1256282,11520,405.80328369140625,nan,-3.017053629150723e-08,0.0,-7.395366263818204e-11,0.0,0.003983970731496811,0.003983970731496811,0.009301876649260521,0.11944933235645294,395.3739013671875,10.429397583007812
7,1602455325.054421,13440,343.2263488769531,nan,-8.097809125725067e-14,0.0,-1.9078891976475817e-14,0.0,0.0012356697116047144,0.0012356697116047144,0.002471339423209429,0.07632565498352051,331.7288818359375,11.497466087341309
8,1602455328.0541239,15360,320.14459228515625,nan,-1.7917313683071812e-13,0.0,-6.396348125367168e-15,0.0,0.0023713589180260897,0.0023713589180260897,0.005473778583109379,0.10005364567041397,309.7439270019531,10.400664329528809
9,1602455331.0746372,17280,379.8592224121094,nan,-1.2280068184111065e-13,0.0,-3.623272539746321e-14,0.0,0.0021239439956843853,0.0021239439956843853,0.005880630109459162,0.09802158176898956,371.0028076171875,8.856429100036621
10,1602455333.7379088,19200,324.71368408203125,0.0,4.961436873862114e-14,6.97896146774292,-1.6240740374176728e-14,0.0,0.012125177308917046,0.012125177308917046,0.024669479578733444,0.23605158925056458,303.8128662109375,13.921859741210938
11,1602455336.4282954,21120,767.0872192382812,0.0,1.9485992193222046,403.0921325683594,-0.0002502265269868076,0.0,0.02632535621523857,0.02632535621523857,0.052690304815769196,0.4368366599082947,345.29815673828125,16.748619079589844
12,1602455338.937531,23040,446.9220886230469,0.0,0.8337770700454712,77.3238754272461,-0.005746276117861271,0.0,0.048056699335575104,0.048056699335575104,0.09611339867115021,0.45172765851020813,352.1238708496094,16.646305084228516
13,1602455341.4707048,24960,1453.189697265625,nan,0.0008239527232944965,1213.3900146484375,-9.406921890331432e-06,0.0,0.00492943124845624,0.00492943124845624,0.009944777935743332,0.21911223232746124,223.83792114257812,15.960881233215332
14,1602455344.2651267,26880,228.0516357421875,nan,-0.9522944688796997,13.756488800048828,-0.04987485334277153,0.0,0.0016092087607830763,0.0016092087607830763,0.00365759851410985,0.14365912973880768,199.58909606933594,15.708221435546875
15,1602455346.3820162,28800,195.22549438476562,nan,0.8884297013282776,0.019079554826021194,-0.130647674202919,0.0,0.0009145156946033239,0.0009145156946033239,0.002566020702943206,0.13669390976428986,179.13771057128906,15.310933113098145
16,1602455348.4971302,30720,205.3318634033203,0.0,-0.007326913066208363,0.842578649520874,-0.03374071046710014,0.0,0.002244696021080017,0.002244696021080017,0.004580867011100054,0.10674062371253967,189.31634521484375,15.214006423950195
17,1602455351.2392201,32640,193.3130340576172,nan,0.07491757720708847,0.5551832914352417,-0.04150864854454994,0.0,0.0006036721169948578,0.0006036721169948578,0.0013233338249847293,0.12441598623991013,177.8047332763672,14.919711112976074
18,1602455353.9477828,34560,168.7852020263672,0.0,0.4703088700771332,1.4859716892242432,-0.04528355225920677,0.0,0.007224171422421932,0.007224171422421932,0.014512193389236927,0.17158134281635284,152.09703063964844,14.777178764343262
19,1602455356.4145858,36480,165.42861938476562,nan,-0.0985187292098999,27.48219108581543,-0.0011333164293318987,0.0,0.0007213923381641507,0.0007213923381641507,0.0023888652212917805,0.12209318578243256,123.33551025390625,14.71056842803955
20,1602455359.023629,38400,154.744873046875,0.0,0.016565626487135887,0.5587483048439026,-0.05826620012521744,0.0,0.008900473825633526,0.008900473825633526,0.018484849482774734,0.23746299743652344,139.85414123535156,14.373689651489258
21,1602455361.378784,40320,150.02015686035156,0.0,0.2030671238899231,0.08597389608621597,-0.08783556520938873,0.0,0.005057292990386486,0.005057292990386486,0.011358850635588169,0.23966097831726074,135.45172119140625,14.367239952087402
22,1602455364.1128075,42240,119.70111846923828,0.0,-0.20239636301994324,0.2799706757068634,-0.08282781392335892,0.0,0.00507493456825614,0.00507493456825614,0.011376644484698772,0.2386299967765808,105.43728637695312,14.269085884094238
23,1602455366.8457434,44160,167.13063049316406,2.5,2.7930908203125,0.3920783996582031,-0.11384247988462448,0.0,0.011997069232165813,0.011997069232165813,0.026590393856167793,0.42150992155075073,149.86216735839844,14.197145462036133
24,1602455369.3701532,46080,224.2189178466797,0.0,5.60017204284668,1.1355315446853638,-0.12683796882629395,0.0052083334885537624,0.024088693782687187,0.029297027736902237,0.05124926194548607,0.7676034569740295,202.47247314453125,15.13757038116455
25,1602455371.7984664,48000,178.3339080810547,nan,2.052880048751831,0.40709084272384644,-0.13859593868255615,0.010416666977107525,0.02435719221830368,0.03477386012673378,0.05276090279221535,0.7337024807929993,161.02505493164062,14.987467765808105
26,1602455374.5481868,49920,124.6745376586914,0.0,-0.8701224327087402,0.06576617807149887,-0.13956235349178314,0.0052083334885537624,0.013971696607768536,0.01918002963066101,0.030974559485912323,0.5682749152183533,111.17882537841797,14.439630508422852
27,1602455377.2721539,51840,112.2325668334961,nan,-0.3110239803791046,0.012487615458667278,-0.14484643936157227,0.0,0.005038207396864891,0.005038207396864891,0.012609681114554405,0.4117807447910309,98.39993286132812,14.276013374328613
28,1602455379.3886445,53760,90.4494857788086,10.0,-0.22702902555465698,0.01628187857568264,-0.1448211818933487,0.0052083334885537624,0.0036100959405303,0.008818428963422775,0.008650880306959152,0.282588392496109,76.99136352539062,13.813693046569824
29,1602455381.8777022,55680,99.44337463378906,0.0,-0.4605664610862732,0.021920645609498024,-0.1450224369764328,0.0,0.006287476979196072,0.006287476979196072,0.015597051940858364,0.36455878615379333,86.13119506835938,13.895851135253906
30,1602455384.4845574,57600,112.79353332519531,0.0,-0.3895531892776489,0.017803002148866653,-0.1425156146287918,0.0,0.008190076798200607,0.008190076798200607,0.020661313086748123,0.49458980560302734,99.13506317138672,14.172739028930664
31,1602455387.225471,59520,98.03759002685547,0.0,-0.5379163026809692,0.09838292002677917,-0.1412811130285263,0.0,0.009294354356825352,0.009294354356825352,0.021139105781912804,0.5727034211158752,84.45245361328125,14.1659574508667
32,1602455389.322884,61440,103.41300964355469,0.0,-0.5763742923736572,0.020322920754551888,-0.13812758028507233,0.0,0.006788776721805334,0.006788776721805334,0.016664648428559303,0.5153611898422241,89.77090454101562,14.33627986907959
33,1602455392.0678473,63360,121.54227447509766,0.0,-0.10087878257036209,0.1174718588590622,-0.13161619007587433,0.015625,0.009106477722525597,0.024731483310461044,0.020037945359945297,0.7354452013969421,106.76164245605469,14.895655632019043
34,1602455394.2813625,65280,119.82307434082031,0.0,-0.34515681862831116,0.09064675867557526,-0.12770375609397888,0.0,0.008485648781061172,0.008485648781061172,0.018386362120509148,0.7786998748779297,104.99111938476562,15.2141752243042
35,1602455396.9823182,67200,121.05573272705078,5.0,1.4452884197235107,0.09841971844434738,-0.131124347448349,0.0,0.010968624614179134,0.010968624614179134,0.023478511720895767,0.837488055229187,103.85166931152344,15.791482925415039
36,1602455399.727772,69120,103.08516693115234,4.0,-1.1900482177734375,0.2827068567276001,-0.12420876324176788,0.02083333395421505,0.0076731047593057156,0.028506437316536903,0.015556098893284798,0.9035413265228271,88.11988067626953,15.996830940246582
37,1602455402.4525552,71040,90.17559814453125,0.0,-1.329349398612976,0.06164969131350517,-0.10144820064306259,0.0,0.003439617343246937,0.003439617343246937,0.006965151987969875,0.9420074224472046,75.26446533203125,16.280284881591797
38,1602455405.1842675,72960,80.62098693847656,3.3333332538604736,0.0998477041721344,0.06412827223539352,-0.08540435880422592,0.015625,0.002843839582055807,0.018468843773007393,0.005746392998844385,0.9517831802368164,64.39541625976562,16.146991729736328
39,1602455407.82771,74880,71.7751693725586,0.0,-0.12293261289596558,0.030380401760339737,-0.08164384961128235,0.0052083334885537624,0.002421222859993577,0.007629556115716696,0.004856857005506754,0.9513699412345886,55.739532470703125,16.209829330444336
40,1602455410.5431926,76800,68.36731719970703,0.0,-0.17279872298240662,0.030241584405303,-0.08445678651332855,0.0,0.0020688020158559084,0.0020688020158559084,0.004170005675405264,0.9375251531600952,52.522769927978516,16.071561813354492
41,1602455413.034424,78720,58.71240997314453,6.0,-0.0428692065179348,0.04658889397978783,-0.0816948264837265,0.010416666977107525,0.000913086871150881,0.011329754255712032,0.0018268406856805086,0.942801296710968,42.79521560668945,15.995169639587402
