# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602647657.7720401,0,7741.396484375,nan,6.507120132446289,11.015554428100586,-0.3391405940055847,0.0,0.00303466385230422,0.00303466385230422,0.3358745574951172,0.6386971473693848,2309.35595703125,28.388839721679688,5386.4677734375
1,1602647660.3222764,800,4738.4892578125,nan,0.00012035480176564306,0.6185941696166992,-0.00025912810815498233,0.0,0.00284116854891181,0.00284116854891181,0.3824830651283264,0.6274271011352539,1849.52001953125,27.038625717163086,2861.312255859375
2,1602647661.3033524,1600,3328.5478515625,nan,-0.0015657282201573253,27.46680450439453,-0.000483097683172673,0.0,0.0032794075086712837,0.0032794075086712837,0.5647881031036377,0.6740770936012268,2333.80712890625,26.310428619384766,940.9652709960938
3,1602647662.2755678,2400,2674.461669921875,0.0,-2.388968368904898e-06,2.46274733543396,-0.00021158091840334237,0.0,0.0007191670592874289,0.0007191670592874289,0.13162751495838165,0.39696410298347473,1975.207763671875,25.61989402770996,671.1715087890625
4,1602647663.2301514,3200,2078.67529296875,nan,0.0020699019078165293,21.43561553955078,-5.665639400831424e-05,0.0,0.0015800753608345985,0.0015800753608345985,0.3094445466995239,0.6584038734436035,1280.8275146484375,25.653305053710938,750.7568359375
5,1602647664.1984239,4000,1974.8096923828125,0.0,0.009720630943775177,2.950035572052002,-0.00135655771009624,0.0,0.0023135258816182613,0.0023135258816182613,0.4535282850265503,0.7284792065620422,1472.7379150390625,24.738502502441406,474.3748474121094
6,1602647665.1592662,4800,1781.394287109375,nan,-0.0008446824504062533,54.48502731323242,-0.00014903538976795971,0.0,0.0009789043106138706,0.0009789043106138706,0.2368810623884201,0.3826088309288025,1243.3570556640625,25.11293601989746,458.44036865234375
7,1602647666.1196969,5600,1780.787841796875,0.0,-0.0004137700889259577,1.837194174569845e-09,-3.4841425076592714e-05,0.0,0.0007686617900617421,0.0007686617900617421,0.15869063138961792,0.34025120735168457,1286.4710693359375,24.789287567138672,469.52789306640625
8,1602647667.0570152,6400,8260.9384765625,0.0,0.000455492059700191,0.10473284870386124,-0.0005225951317697763,0.013749999925494194,0.001441927277483046,0.015191926620900631,0.2876509726047516,0.5974481105804443,1195.6214599609375,24.245519638061523,7040.966796875
9,1602647667.9700415,7200,1665.5926513671875,nan,0.13345924019813538,8.42746639251709,-0.00015558557061012834,0.0,0.0013380527961999178,0.0013380527961999178,0.31380560994148254,0.4256879687309265,939.6947631835938,25.042299270629883,692.2947998046875
10,1602647668.8928108,8000,11948.8544921875,nan,0.011281739920377731,5.913971424102783,-0.03307707607746124,0.0012499999720603228,0.001673757447861135,0.0029237575363367796,0.36024555563926697,0.6921263337135315,1000.20654296875,24.95425796508789,10917.8017578125
11,1602647669.8128135,8800,1965.8564453125,nan,0.0019872128032147884,324.80816650390625,-0.0005110391066409647,0.0,0.001398712396621704,0.001398712396621704,0.4104112684726715,0.47261151671409607,937.6173095703125,25.446563720703125,677.9828491210938
12,1602647670.7204156,9600,3853.51416015625,nan,-0.19284045696258545,214.07196044921875,-0.009334886446595192,0.0012499999720603228,0.0026461314409971237,0.003896130947396159,0.6832078695297241,0.6205491423606873,1064.3226318359375,26.782928466796875,2548.538818359375
13,1602647671.648219,10400,6972.8935546875,nan,-1.1535083055496216,651.0780029296875,-0.01825220137834549,0.013749999925494194,0.002705656224861741,0.01645565591752529,0.7184464335441589,0.6480878591537476,1022.7774047851562,26.642566680908203,5273.5673828125
14,1602647672.5715625,11200,3533.8203125,nan,-0.48988696932792664,194.00735473632812,-0.008042608387768269,0.0012499999720603228,0.003562035970389843,0.004812035709619522,0.8467773199081421,0.6879118084907532,1064.822998046875,26.175806045532227,2249.31201171875
15,1602647673.5053277,12000,8748.88671875,nan,-0.8786637187004089,380.532958984375,-0.014188295230269432,0.013749999925494194,0.002239776076748967,0.015989772975444794,0.6660448312759399,0.5269086360931396,861.57421875,26.058380126953125,7481.6142578125
16,1602647674.4332242,12800,2396.3525390625,nan,-0.1017090454697609,82.2599105834961,-0.002678549150004983,0.0,0.0022042470518499613,0.0022042470518499613,0.6308543682098389,0.5417798161506653,772.7838745117188,25.880704879760742,1515.5323486328125
17,1602647675.350652,13600,2246.4091796875,nan,-0.5963137149810791,381.3174133300781,-0.023401089012622833,0.0,0.0016163572436198592,0.0016163572436198592,0.7782170176506042,0.34679195284843445,877.4426879882812,25.251258850097656,963.0175170898438
18,1602647676.3007805,14400,1689.86962890625,0.0,1.762006402015686,87.80521392822266,-0.04000907763838768,0.0,0.002033420605584979,0.002033420605584979,0.7487406730651855,0.46810460090637207,857.6901245117188,25.02027702331543,717.6319580078125
19,1602647677.2256866,15200,2037.852783203125,nan,-0.10462012887001038,500.45458984375,-0.0019246885785833001,0.0,0.0021627042442560196,0.0021627042442560196,0.903598964214325,0.4365858733654022,973.80322265625,24.26772689819336,539.4338989257812
20,1602647678.1282492,16000,1413.6383056640625,nan,0.045958735048770905,73.74398803710938,-0.016490843147039413,0.0,0.0012285077245905995,0.0012285077245905995,0.7080468535423279,0.31610047817230225,809.67431640625,24.03319549560547,506.1573486328125
21,1602647679.040713,16800,1525.23193359375,0.0,-0.23565946519374847,282.0947265625,-0.0037755651865154505,0.0,0.0011141541181132197,0.0011141541181132197,0.6206201314926147,0.36275047063827515,749.6981811523438,23.79442596435547,469.8840637207031
22,1602647679.9500473,17600,1326.3385009765625,nan,0.271626740694046,59.31041717529297,-0.019297000020742416,0.0,0.0010126444976776838,0.0010126444976776838,0.7204168438911438,0.26624518632888794,782.8116455078125,23.241554260253906,460.7225341796875
23,1602647680.861556,18400,1320.5137939453125,nan,-1.0158380270004272,123.631103515625,-0.03126257658004761,0.0,0.0012927236966788769,0.0012927236966788769,0.6619918942451477,0.36192741990089417,715.7904663085938,23.279821395874023,458.8595275878906
24,1602647681.7708972,19200,1285.7210693359375,nan,0.1105509027838707,34.72529983520508,-0.010024221614003181,0.0,0.0013536636251956224,0.0013536636251956224,0.7424471378326416,0.34351417422294617,771.3560791015625,22.967809677124023,456.5713806152344
25,1602647682.6802583,20000,1247.1441650390625,nan,-0.6310155987739563,146.08514404296875,-0.03021056577563286,0.0,0.0007980128866620362,0.0007980128866620362,0.5978285670280457,0.2466093897819519,624.3594360351562,23.059782028198242,454.30108642578125
26,1602647683.5887098,20800,1046.3060302734375,nan,0.12036918103694916,14.266646385192871,-0.015538973733782768,0.0,0.0007046380778774619,0.0007046380778774619,0.4765050411224365,0.3271138370037079,543.6303100585938,23.192462921142578,465.11181640625
27,1602647684.5097268,21600,1193.744140625,nan,0.1312360018491745,85.03583526611328,-0.036663349717855453,0.0,0.0006875819526612759,0.0006875819526612759,0.5978622436523438,0.22052162885665894,631.959228515625,22.542295455932617,454.1122741699219
28,1602647685.425115,22400,1095.5057373046875,nan,0.9086690545082092,18.382160186767578,-0.05862286314368248,0.0,0.0010166836436837912,0.0010166836436837912,0.5649774074554443,0.3329041004180908,590.1614379882812,22.659337997436523,463.4527587890625
29,1602647686.3517387,23200,1241.2435302734375,nan,-0.42366114258766174,128.9510955810547,-0.013093439862132072,0.0,0.0010070401476696134,0.0010070401476696134,0.6184703707695007,0.3031426966190338,634.2529907226562,22.326974868774414,456.1492614746094
30,1602647687.2563355,24000,1032.9595947265625,nan,0.03694329783320427,18.22945785522461,-0.033690616488456726,0.0,0.0005685139913111925,0.0005685139913111925,0.5127958059310913,0.20591852068901062,539.542724609375,22.486713409423828,452.69744873046875
31,1602647688.16372,24800,991.1218872070312,nan,-0.6119174361228943,53.94197082519531,-0.02061326615512371,0.0,0.0004959211219102144,0.0004959211219102144,0.41103747487068176,0.2564203441143036,452.6659851074219,22.50006675720215,462.6463623046875
32,1602647689.0804582,25600,1042.451416015625,0.0,0.26544389128685,28.09212303161621,-0.039201296865940094,0.0,0.0005414779298007488,0.0005414779298007488,0.5187942385673523,0.19991658627986908,539.6350708007812,21.983346939086914,452.51458740234375
33,1602647689.9883626,26400,1060.07275390625,nan,-1.0536502599716187,60.37278366088867,-0.046581003814935684,0.0,0.0007503261440433562,0.0007503261440433562,0.4977414011955261,0.2816895544528961,518.6416015625,22.32073211669922,459.83782958984375
34,1602647690.9026344,27200,1044.0579833984375,nan,0.7559350728988647,22.507749557495117,-0.03469686955213547,0.0,0.0007912362925708294,0.0007912362925708294,0.5336870551109314,0.27468106150627136,543.47705078125,21.783979415893555,455.5679016113281
35,1602647691.8133993,28000,985.1867065429688,nan,-0.948330819606781,34.27377700805664,-0.048237044364213943,0.0,0.00043414204264990985,0.00043414204264990985,0.4456033706665039,0.1789293736219406,477.43707275390625,21.87989044189453,452.592529296875
36,1602647692.716525,28800,880.84521484375,nan,0.4745402932167053,8.017709732055664,-0.032199498265981674,0.0,0.0003935933345928788,0.0003935933345928788,0.3662688136100769,0.224079430103302,393.27294921875,21.83258628845215,457.27960205078125
37,1602647693.6775615,29600,968.9358520507812,0.0,-2.3349497318267822,36.80082321166992,-0.05751749500632286,0.0,0.000565924565307796,0.000565924565307796,0.42653411626815796,0.26955893635749817,460.8607177734375,21.39301872253418,452.27374267578125
38,1602647694.5833845,30400,946.051025390625,nan,0.9810818433761597,9.423903465270996,-0.06426649540662766,0.0,0.0006025878246873617,0.0006025878246873617,0.4431261420249939,0.2560579776763916,456.9735412597656,21.684457778930664,457.0522766113281
39,1602647695.5110385,31200,990.529296875,nan,-1.0963759422302246,40.396453857421875,-0.04569939523935318,0.0,0.0006346708396449685,0.0006346708396449685,0.47195571660995483,0.24632950127124786,475.7038879394531,21.193185806274414,454.37786865234375
40,1602647696.4159954,32000,900.1868896484375,0.0,0.7722141146659851,11.314217567443848,-0.08350511640310287,0.0,0.000358160468749702,0.000358160468749702,0.4074457287788391,0.1643122285604477,413.995849609375,20.967748641967773,453.2203674316406
41,1602647697.313316,32800,841.9989013671875,nan,-0.7674867510795593,23.21086311340332,-0.0423058345913887,0.0,0.0003159444313496351,0.0003159444313496351,0.3233983516693115,0.21004533767700195,344.8334045410156,21.149166107177734,453.6152648925781
42,1602647698.2200506,33600,897.3886108398438,0.0,-0.5568971633911133,28.13053321838379,-0.06380165368318558,0.0,0.00033056523534469306,0.00033056523534469306,0.3685595393180847,0.18592527508735657,397.0316162109375,20.910261154174805,451.9369201660156
43,1602647699.1321099,34400,910.2365112304688,nan,-1.599237322807312,16.93646812438965,-0.08107754588127136,0.0,0.0005110467900522053,0.0005110467900522053,0.4004772901535034,0.23996968567371368,418.23291015625,21.36407470703125,455.38336181640625
44,1602647700.040518,35200,906.352783203125,nan,0.6301756501197815,10.507805824279785,-0.04645686224102974,0.0,0.0005114098894409835,0.0005114098894409835,0.4129056930541992,0.2303430438041687,421.1526184082031,20.760406494140625,453.34820556640625
45,1602647700.9264724,36000,874.8045043945312,nan,-0.21184611320495605,22.689308166503906,-0.10000289976596832,0.0,0.00029475626070052385,0.00029475626070052385,0.30825862288475037,0.19390128552913666,378.86865234375,21.435895919799805,452.12249755859375
46,1602647701.8293214,36800,787.4052734375,0.0,0.8444289565086365,5.617981910705566,-0.06516016274690628,0.0,0.0002647317305672914,0.0002647317305672914,0.29151204228401184,0.1935417354106903,307.90570068359375,20.699993133544922,452.40234375
47,1602647702.747959,37600,876.263427734375,0.25,-2.9804723262786865,21.64471435546875,-0.12599126994609833,0.0,0.00031870213570073247,0.00031870213570073247,0.3299659788608551,0.19381746649742126,384.02545166015625,20.539854049682617,453.159912109375
48,1602647703.6448514,38400,863.9072265625,0.20000000298023224,1.7432092428207397,7.90421724319458,-0.11667217314243317,0.0,0.00045189037336967885,0.00045189037336967885,0.36624354124069214,0.22831714153289795,379.5845947265625,20.845409393310547,453.9465026855469
49,1602647704.5690508,39200,871.0219116210938,0.1666666716337204,-2.0182502269744873,21.983787536621094,-0.10377325862646103,0.0,0.0004681182326748967,0.0004681182326748967,0.3752065598964691,0.22723615169525146,378.52392578125,20.25422477722168,452.38201904296875
50,1602647705.4775589,40000,795.9013671875,0.0,1.0874464511871338,6.056459903717041,-0.19310948252677917,0.0,0.00026975086075253785,0.00026975086075253785,0.3015967905521393,0.16740839183330536,317.21722412109375,20.119932174682617,451.6134338378906
51,1602647706.3983107,40800,779.6353759765625,0.0,-2.5980913639068604,10.079656600952148,-0.14847439527511597,0.0,0.0005202779429964721,0.0005202779429964721,0.2850213348865509,0.28024792671203613,301.20111083984375,20.329059600830078,450.7720947265625
52,1602647707.3166807,41600,839.6627807617188,nan,1.1915132999420166,5.008143901824951,-0.1779918074607849,0.0,0.0009120840695686638,0.0009120840695686638,0.30998048186302185,0.4883982539176941,361.2916564941406,20.09111976623535,452.2583312988281
53,1602647708.244318,42400,890.7744750976562,nan,0.6170850992202759,28.27646255493164,-0.14756689965724945,0.0,0.001169828581623733,0.001169828581623733,0.36630141735076904,0.5785394310951233,390.17022705078125,19.749696731567383,452.10858154296875
54,1602647709.1600645,43200,919.6334228515625,nan,1.4756393432617188,26.333301544189453,-0.09574314206838608,0.0,0.0009452776866964996,0.0009452776866964996,0.3906172811985016,0.4560488760471344,417.5250549316406,19.395587921142578,454.99957275390625
55,1602647710.0789232,44000,802.3592529296875,0.0,-0.33198899030685425,14.451333045959473,-0.19501979649066925,0.0,0.0010060491040349007,0.0010060491040349007,0.28569430112838745,0.5805999040603638,312.8856506347656,20.010936737060547,455.538330078125
56,1602647710.9815063,44800,821.2830810546875,0.0,3.188786029815674,9.604721069335938,-0.18175889551639557,0.0,0.0007742852903902531,0.0007742852903902531,0.3135780692100525,0.44368869066238403,336.76300048828125,19.866159439086914,452.04217529296875
57,1602647711.8843,45600,818.140625,0.0,-4.701529026031494,20.312898635864258,-0.1302311271429062,0.0,0.0006529823876917362,0.0006529823876917362,0.2699625492095947,0.40411117672920227,329.4154052734375,20.134159088134766,453.1098937988281
58,1602647712.7929938,46400,852.568359375,11.0,-1.8169901371002197,28.894180297851562,-0.09359550476074219,0.0,0.0009947115322574973,0.0009947115322574973,0.33769744634628296,0.5133720636367798,355.95745849609375,18.998947143554688,450.62835693359375
