# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1602654224.9175668,0,2113.872314453125,nan,7.458539009094238,2.6290194988250732,-0.828140377998352,0.0,0.0012682595988735557,0.0012682595988735557,0.16986435651779175,0.3743878901004791,2076.488037109375,28.12466812133789
1,1602654227.6634235,800,1446.3482666015625,nan,2.5918407440185547,5.876771926879883,-0.38521963357925415,0.0,0.0011784291127696633,0.0011784291127696633,0.18137459456920624,0.49413639307022095,1411.449462890625,26.81546974182129
2,1602654228.5444307,1600,1131.6090087890625,0.0,-0.9888065457344055,3.253680944442749,-0.004430643282830715,0.0,0.0005570712382905185,0.0005570712382905185,0.06003386527299881,0.42921027541160583,1103.1484375,26.200132369995117
3,1602654229.4729912,2400,1053.2882080078125,0.0,1.6713510751724243,4.51911735534668,-0.008062372915446758,0.0,0.0008283778443001211,0.0008283778443001211,0.09618891775608063,0.4929722547531128,1021.0498046875,26.056034088134766
4,1602654230.411323,3200,943.1756591796875,0.0,-0.019752036780118942,6.743388652801514,-0.005182170774787664,0.0,0.0009252178715541959,0.0009252178715541959,0.1315188854932785,0.4929673671722412,910.791259765625,25.665969848632812
5,1602654231.2987847,4000,999.321044921875,0.0,5.0211663246154785,48.81454086303711,-0.008583016693592072,0.0,0.0012592014390975237,0.0012592014390975237,0.17631804943084717,0.5120860934257507,919.990234375,25.5036563873291
6,1602654232.178307,4800,710.4183349609375,nan,-0.2576005160808563,12.573841094970703,-0.20502516627311707,0.0,0.0006390107446350157,0.0006390107446350157,0.12886573374271393,0.34781864285469055,672.6342163085938,25.67288589477539
7,1602654233.0749223,5600,665.0642700195312,nan,0.20604805648326874,1.6970744132995605,-0.14595840871334076,0.0,0.000261034001596272,0.000261034001596272,0.04224952682852745,0.20305921137332916,637.8939208984375,25.413206100463867
8,1602654233.9881,6400,711.4724731445312,nan,0.03774295747280121,68.62232971191406,-0.008415449410676956,0.0,0.0011735232546925545,0.0011735232546925545,0.190313458442688,0.38180169463157654,617.2928466796875,25.5279598236084
9,1602654234.8581476,7200,701.7498168945312,nan,-0.024796750396490097,36.354095458984375,-0.029095953330397606,0.0,0.0006899076979607344,0.0006899076979607344,0.09535398334264755,0.36451852321624756,640.08251953125,25.367036819458008
10,1602654235.7532716,8000,626.9302978515625,0.0,-1.0763190984725952,2.7238821983337402,-0.03802848979830742,0.0,0.0006813955842517316,0.0006813955842517316,0.13045606017112732,0.35251495242118835,599.635986328125,25.684738159179688
11,1602654236.6886046,8800,610.1751708984375,nan,0.32344678044319153,1.1790237426757812,-0.004968349356204271,0.0,0.0005946658202446997,0.0005946658202446997,0.08753353357315063,0.3808651864528656,582.9645385742188,25.713138580322266
12,1602654237.5140657,9600,649.863525390625,nan,-2.857367992401123,10.259364128112793,-0.08854791522026062,0.0,0.0013077621115371585,0.0013077621115371585,0.17205803096294403,0.47830769419670105,615.8274536132812,26.72257423400879
