Found log directory: ./torchbeast-20200918-003227
Saving arguments to ./torchbeast-20200918-003227/meta.json
Path to meta file already exists. Not overriding meta.
Saving messages to ./torchbeast-20200918-003227/out.log
Path to message file already exists. New data will be appended.
Saving logs data to ./torchbeast-20200918-003227/logs.csv
Saving logs' fields to ./torchbeast-20200918-003227/fields.csv
[INFO:33719 ride:213 2020-09-18 00:32:28,087] Not using CUDA.
building procgen...done
[INFO:34374 utils:204 2020-09-18 00:32:47,753] Actor 0 started.
[INFO:34379 utils:204 2020-09-18 00:32:47,759] Actor 1 started.
[INFO:34384 utils:204 2020-09-18 00:32:47,766] Actor 2 started.
[INFO:34390 utils:204 2020-09-18 00:32:47,773] Actor 3 started.
[INFO:34395 utils:204 2020-09-18 00:32:47,780] Actor 4 started.
[INFO:34400 utils:204 2020-09-18 00:32:47,787] Actor 5 started.
[INFO:34405 utils:204 2020-09-18 00:32:47,794] Actor 6 started.
[INFO:34410 utils:204 2020-09-18 00:32:47,801] Actor 7 started.
[INFO:34415 utils:204 2020-09-18 00:32:47,808] Actor 8 started.
[INFO:34420 utils:204 2020-09-18 00:32:47,815] Actor 9 started.
[INFO:34425 utils:204 2020-09-18 00:32:47,822] Actor 10 started.
[INFO:34430 utils:204 2020-09-18 00:32:47,829] Actor 11 started.
[INFO:34435 utils:204 2020-09-18 00:32:47,835] Actor 12 started.
[INFO:34440 utils:204 2020-09-18 00:32:47,842] Actor 13 started.
[INFO:34445 utils:204 2020-09-18 00:32:47,849] Actor 14 started.
[INFO:34450 utils:204 2020-09-18 00:32:47,856] Actor 15 started.
[INFO:34455 utils:204 2020-09-18 00:32:47,863] Actor 16 started.
[INFO:34460 utils:204 2020-09-18 00:32:47,871] Actor 17 started.
[INFO:34465 utils:204 2020-09-18 00:32:47,878] Actor 18 started.
[INFO:34470 utils:204 2020-09-18 00:32:47,886] Actor 19 started.
[INFO:34475 utils:204 2020-09-18 00:32:47,893] Actor 20 started.
[INFO:34480 utils:204 2020-09-18 00:32:47,900] Actor 21 started.
[INFO:34485 utils:204 2020-09-18 00:32:47,908] Actor 22 started.
[INFO:34490 utils:204 2020-09-18 00:32:47,915] Actor 23 started.
[INFO:34495 utils:204 2020-09-18 00:32:47,923] Actor 24 started.
[INFO:34500 utils:204 2020-09-18 00:32:47,930] Actor 25 started.
[INFO:34505 utils:204 2020-09-18 00:32:47,937] Actor 26 started.
[INFO:34510 utils:204 2020-09-18 00:32:47,944] Actor 27 started.
[INFO:34515 utils:204 2020-09-18 00:32:47,951] Actor 28 started.
[INFO:34520 utils:204 2020-09-18 00:32:47,958] Actor 29 started.
[INFO:34525 utils:204 2020-09-18 00:32:47,965] Actor 30 started.
[INFO:34530 utils:204 2020-09-18 00:32:47,972] Actor 31 started.
[INFO:34535 utils:204 2020-09-18 00:32:47,979] Actor 32 started.
[INFO:34540 utils:204 2020-09-18 00:32:47,987] Actor 33 started.
[INFO:34545 utils:204 2020-09-18 00:32:47,994] Actor 34 started.
[INFO:34550 utils:204 2020-09-18 00:32:48,001] Actor 35 started.
[INFO:34555 utils:204 2020-09-18 00:32:48,008] Actor 36 started.
[INFO:34560 utils:204 2020-09-18 00:32:48,015] Actor 37 started.
