# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1602428044.2731168,0,1398.070556640625,nan,0.0156914833933115,4.8018238885561004e-05,-0.02007388137280941,0.0,0.017890648916363716,0.017890648916363716,0.04577060416340828,0.2642417848110199,1381.8109130859375,16.264070510864258
1,1602428046.698626,1920,1845.925048828125,nan,-0.0006254500476643443,1.7628109455108643,-4.7969453589757904e-05,0.0,0.017933746799826622,0.017933746799826622,0.06235281378030777,0.20535701513290405,1836.2958984375,7.867069244384766
2,1602428048.9004004,3840,1935.8839111328125,nan,2.1703205638906597e-12,0.0,-1.9464188205940485e-15,0.0,0.00991894118487835,0.00991894118487835,0.047318823635578156,0.15123873949050903,1932.2340087890625,3.6498658657073975
3,1602428051.4434757,5760,3226.7314453125,nan,6.62763247061271e-13,0.0,-1.7340806838489595e-15,0.0,0.008318654261529446,0.008318654261529446,0.04778028652071953,0.11969666928052902,3223.516845703125,3.214714527130127
4,1602428053.9949036,7680,1051.9302978515625,nan,2.0401272359839295e-13,0.0,-2.3726445291029916e-15,0.0,0.0034639425575733185,0.0034639425575733185,0.026196317747235298,0.09095332026481628,1044.487060546875,7.44318151473999
5,1602428056.696377,9600,1293.6146240234375,nan,1.318063388468238e-12,0.0,-1.856172754020023e-15,0.0,0.0039423685520887375,0.0039423685520887375,0.03606804460287094,0.08236484229564667,1289.9425048828125,3.6720783710479736
6,1602428059.4034045,11520,890.0023803710938,nan,5.918289404556465e-13,0.0,-2.1770694920214204e-15,0.0,0.003269103355705738,0.003269103355705738,0.030151255428791046,0.0738537460565567,885.65625,4.346158981323242
7,1602428062.1209059,13440,553.6088256835938,nan,1.6808991264855022e-12,0.0,-1.511993621397447e-15,0.0,0.0026883212849497795,0.0026883212849497795,0.027651173993945122,0.06989545375108719,547.2235107421875,6.385324954986572
8,1602428064.7428455,15360,859.35791015625,nan,1.3373032065402968e-12,0.0,-2.281009328495469e-15,0.0,0.004242278169840574,0.004242278169840574,0.03964899480342865,0.07517250627279282,855.8419189453125,3.5159690380096436
9,1602428067.1778154,17280,640.6144409179688,nan,8.224529998018815e-13,0.0,-1.6329571260454128e-15,0.0,0.0021448887418955564,0.0021448887418955564,0.021337052807211876,0.06943187862634659,635.5557861328125,5.05864143371582
10,1602428069.738521,19200,910.7542724609375,0.0,1.1650618620892561e-12,0.0,-1.929081326713174e-15,0.0,0.003891321364790201,0.003891321364790201,0.04719043895602226,0.06797899305820465,896.5899658203125,14.164305686950684
11,1602428072.271839,21120,4318.86865234375,0.0,5.0382963046827905e-14,3753.212890625,-1.6671435875548332e-15,0.0,0.001215514843352139,0.001215514843352139,0.01829630509018898,0.05286238715052605,546.220947265625,19.434999465942383
12,1602428074.8756719,23040,702.5299682617188,nan,0.9879295229911804,97.46920776367188,-0.0034967055544257164,0.0,0.0015353395137935877,0.0015353395137935877,0.025437988340854645,0.051845572888851166,587.0576782226562,17.01862907409668
13,1602428077.386628,24960,4816.369140625,nan,0.0,4414.53125,-9.571998749180466e-10,0.0,0.00103388715069741,0.00103388715069741,0.018149884417653084,0.04881734773516655,386.2333679199219,15.604588508605957
14,1602428079.9950173,26880,415.7598876953125,nan,-0.06664841622114182,0.3121611177921295,-0.010914288461208344,0.0,0.0013628568267449737,0.0013628568267449737,0.025369491428136826,0.04654310271143913,400.9814453125,14.543838500976562
15,1602428082.719007,28800,11824.8076171875,nan,0.0,11569.134765625,-4.431591538178736e-09,0.0,0.00115079281385988,0.00115079281385988,0.02184344083070755,0.04461326077580452,241.99176025390625,13.680391311645508
