# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602658818.2578077,0,2478.634765625,nan,1.043689735524822e-05,1.1878303896040165e-11,-0.008038581348955631,0.0,0.07325974851846695,0.07325974851846695,0.1220490112900734,0.44124075770378113,1183.98583984375,16.783231735229492,1277.873779296875
1,1602658820.635249,1920,9225.830078125,nan,0.0,0.0,-0.0,0.0,0.046160582453012466,0.046160582453012466,0.08390137553215027,0.29614460468292236,2269.635986328125,7.635468482971191,6948.55859375
2,1602658823.3239393,3840,2886.26806640625,nan,0.0,0.0,-0.0,0.0,0.02820875309407711,0.02820875309407711,0.07503942400217056,0.21224825084209442,1692.6474609375,4.864352226257324,1188.7562255859375
3,1602658826.1407118,5760,3253.95947265625,nan,0.0,0.0,-0.0,0.0,0.009201797656714916,0.009201797656714916,0.054302457720041275,0.16273485124111176,1088.56787109375,4.185887813568115,2161.205810546875
4,1602658828.6308074,7680,2580.633544921875,nan,0.0,0.0,-0.0,0.0,0.006578526459634304,0.006578526459634304,0.03681035339832306,0.13956642150878906,1216.0904541015625,4.682998180389404,1359.860107421875
5,1602658831.4106274,9600,1845.324462890625,nan,0.0,0.0,-0.0,0.0,0.008431755937635899,0.008431755937635899,0.040911126881837845,0.13241888582706451,679.7109985351562,5.488433361053467,1160.125
6,1602658833.9164062,11520,1938.322509765625,nan,0.0,0.0,-0.0,0.0,0.01287099439650774,0.01287099439650774,0.049561481922864914,0.132136270403862,691.9909057617188,3.656874895095825,1242.6746826171875
7,1602658836.724814,13440,1693.2352294921875,nan,0.0,0.0,-0.0,0.0,0.009239662438631058,0.009239662438631058,0.0496724434196949,0.12390431761741638,520.1271362304688,7.042675971984863,1166.0654296875
8,1602658839.019063,15360,2127.28662109375,nan,0.0,0.0,-0.0,0.0,0.01398853026330471,0.01398853026330471,0.055756352841854095,0.1259049028158188,838.7095947265625,3.1446545124053955,1285.4324951171875
9,1602658841.800068,17280,1634.362548828125,nan,0.0,0.0,-0.0,0.0,0.005194844678044319,0.005194844678044319,0.031246358528733253,0.11367787420749664,469.8453063964844,6.4749603271484375,1158.0423583984375
