# _tick,_time,frames,mean_episode_return,total_loss,pg_loss,baseline_loss,entropy_loss
0,1602664454.6936646,0,2.0,-0.3759249150753021,-0.25036248564720154,0.04373637214303017,-0.16929879784584045
1,1602664457.3437202,1280,0.0,-0.1135459840297699,-0.00027073879027739167,9.688151294540148e-06,-0.11328493058681488
2,1602664458.3714786,2560,0.0,-0.1909554898738861,-0.1505434811115265,0.004472511820495129,-0.044884514063596725
3,1602664459.8272142,3840,10.0,0.007939253002405167,-1.2757581449585054e-11,0.007939253002405167,-1.6164964332376908e-12
4,1602664461.197501,5120,nan,5.776389662059955e-05,8.559493454526911e-16,5.776390389655717e-05,-7.439290503064022e-12
5,1602664462.7708426,6400,0.0,-1.6210889239049592e-13,1.3373125577840345e-16,0.0,-1.62242628728472e-13
6,1602664463.9693403,7680,0.0,0.14023704826831818,1.1810471551142328e-16,0.14023704826831818,-2.1574856484685156e-11
7,1602664465.4092443,8960,nan,98.94744873046875,1.8597074813442305e-07,98.94744873046875,-2.7286835120321484e-06
8,1602664466.4280019,10240,nan,3.400245189666748,-0.00015681027434766293,3.400606632232666,-0.00020455564663279802
9,1602664467.2670186,11520,nan,86.95140075683594,0.018721546977758408,86.93323516845703,-0.0005602093879133463
10,1602664468.2127402,12800,nan,1.4060883522033691,-0.005967844743281603,1.4127936363220215,-0.0007374322740361094
11,1602664469.3251169,14080,nan,38.13016891479492,0.031389713287353516,38.10018539428711,-0.0014083960559219122
12,1602664470.203473,15360,nan,2.349799156188965,0.035381171852350235,2.332650899887085,-0.018232839182019234
13,1602664471.2831244,16640,nan,36.88686752319336,0.34843024611473083,36.5754280090332,-0.0369919016957283
14,1602664471.9237337,17920,nan,0.9297558665275574,-0.015068942680954933,0.9935483336448669,-0.04872353747487068
15,1602664473.0548286,19200,nan,21.418466567993164,-0.489168643951416,21.962722778320312,-0.055087827146053314
16,1602664473.9797711,20480,nan,0.724725604057312,0.21285611391067505,0.6836021542549133,-0.17173266410827637
17,1602664474.9936445,21760,nan,10.239590644836426,-0.31547144055366516,10.643590927124023,-0.08852881193161011
18,1602664476.0409229,23040,nan,0.562015175819397,0.04389618709683418,0.6471323370933533,-0.12901335954666138
19,1602664477.085199,24320,nan,-0.00017695128917694092,-0.09155882894992828,0.29756197333335876,-0.20618009567260742
20,1602664478.0905242,25600,nan,0.07558917999267578,0.22197416424751282,0.2596376836299896,-0.40602266788482666
21,1602664479.0503008,26880,nan,1.5008223056793213,-0.42527925968170166,2.285429000854492,-0.3593274652957916
22,1602664479.8802667,28160,nan,-0.149679034948349,0.09983735531568527,0.27265891432762146,-0.5221753120422363
23,1602664480.9788363,29440,nan,-0.246820330619812,-0.49685633182525635,0.9047884941101074,-0.6547524929046631
24,1602664481.9664042,30720,0.0,-0.6042907238006592,0.04310668632388115,0.0896487608551979,-0.7370461821556091
25,1602664482.9843419,32000,2.5,-0.7839391231536865,-0.11358567327260971,0.09547983855009079,-0.76583331823349
26,1602664484.0489779,33280,0.0,-0.7713456749916077,-0.08587272465229034,0.06780985742807388,-0.7532827854156494
27,1602664485.1374638,34560,0.0,-0.8919596076011658,-0.31462007761001587,0.08352576941251755,-0.660865306854248
28,1602664486.0917938,35840,3.3333332538604736,-0.3448203504085541,0.22536075115203857,0.23724696040153503,-0.8074280619621277
29,1602664487.0285804,37120,0.0,-0.7544859647750854,-0.4206942021846771,0.37150052189826965,-0.705292284488678
30,1602664487.7105708,38400,2.5,-0.44854122400283813,-0.024503780528903008,0.22922249138355255,-0.6532599329948425
