Creating log directory: ./torchbeast-20200919-195326
Saving arguments to ./torchbeast-20200919-195326/meta.json
Saving messages to ./torchbeast-20200919-195326/out.log
Saving logs data to ./torchbeast-20200919-195326/logs.csv
Saving logs' fields to ./torchbeast-20200919-195326/fields.csv
[INFO:43595 ride:213 2020-09-19 19:53:26,739] Not using CUDA.
building procgen...done
[INFO:43669 utils:204 2020-09-19 19:53:29,186] Actor 0 started.
[INFO:43674 utils:204 2020-09-19 19:53:29,192] Actor 1 started.
[INFO:43679 utils:204 2020-09-19 19:53:29,199] Actor 2 started.
[INFO:43684 utils:204 2020-09-19 19:53:29,205] Actor 3 started.
[INFO:43689 utils:204 2020-09-19 19:53:29,212] Actor 4 started.
[INFO:43694 utils:204 2020-09-19 19:53:29,218] Actor 5 started.
[INFO:43699 utils:204 2020-09-19 19:53:29,225] Actor 6 started.
[INFO:43704 utils:204 2020-09-19 19:53:29,232] Actor 7 started.
[INFO:43709 utils:204 2020-09-19 19:53:29,238] Actor 8 started.
[INFO:43714 utils:204 2020-09-19 19:53:29,245] Actor 9 started.
[INFO:43719 utils:204 2020-09-19 19:53:29,252] Actor 10 started.
[INFO:43724 utils:204 2020-09-19 19:53:29,258] Actor 11 started.
[INFO:43729 utils:204 2020-09-19 19:53:29,265] Actor 12 started.
[INFO:43737 utils:204 2020-09-19 19:53:29,271] Actor 13 started.
[INFO:43742 utils:204 2020-09-19 19:53:29,278] Actor 14 started.
[INFO:43747 utils:204 2020-09-19 19:53:29,285] Actor 15 started.
[INFO:43752 utils:204 2020-09-19 19:53:29,292] Actor 16 started.
[INFO:43757 utils:204 2020-09-19 19:53:29,299] Actor 17 started.
[INFO:43762 utils:204 2020-09-19 19:53:29,306] Actor 18 started.
[INFO:43767 utils:204 2020-09-19 19:53:29,313] Actor 19 started.
[INFO:43772 utils:204 2020-09-19 19:53:29,320] Actor 20 started.
[INFO:43777 utils:204 2020-09-19 19:53:29,327] Actor 21 started.
[INFO:43786 utils:204 2020-09-19 19:53:29,334] Actor 22 started.
[INFO:43791 utils:204 2020-09-19 19:53:29,340] Actor 23 started.
[INFO:43796 utils:204 2020-09-19 19:53:29,347] Actor 24 started.
[INFO:43801 utils:204 2020-09-19 19:53:29,354] Actor 25 started.
[INFO:43806 utils:204 2020-09-19 19:53:29,361] Actor 26 started.
[INFO:43811 utils:204 2020-09-19 19:53:29,368] Actor 27 started.
[INFO:43816 utils:204 2020-09-19 19:53:29,375] Actor 28 started.
