# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602545421.737606,0,2912.522705078125,nan,-0.1513783037662506,0.028880992904305458,-0.0001339423906756565,0.0,0.00017128018953371793,0.00017128018953371793,0.3434288501739502,0.45501479506492615,2678.29833984375,27.9679012298584,206.3788604736328
1,1602545426.7142963,3200,2579.365966796875,nan,2.070369435593666e-39,0.0,-1.2611686178923354e-43,0.0,0.0001413252903148532,0.0001413252903148532,0.2833688259124756,0.3214179277420044,2539.32763671875,21.900163650512695,18.138063430786133
2,1602545432.1148803,6400,1869.239501953125,nan,-9.991093809424193e-29,0.0,-4.369643732273482e-24,0.0,9.925446647685021e-05,9.925446647685021e-05,0.2199477255344391,0.28624388575553894,1792.4671630859375,18.439434051513672,58.332855224609375
3,1602545440.3507955,9600,1599.0272216796875,0.0,1.8688390946002597e-25,0.0,-1.385936551021976e-27,0.0,0.0001387034571962431,0.0001387034571962431,0.2449430227279663,0.32373565435409546,1562.3486328125,18.44343376159668,18.235137939453125
4,1602545447.7772002,12800,1749.894775390625,0.0,-9.299578036627414e-20,0.0,-4.748651954186917e-24,0.0,9.642708755563945e-05,9.642708755563945e-05,0.21468478441238403,0.24525974690914154,1714.395263671875,15.169827461242676,20.329727172851562
5,1602545455.5501003,16000,1089.578857421875,nan,-1.2479239631765938e-19,0.0,-8.00213954710681e-24,0.0,6.105780630605295e-05,6.105780630605295e-05,0.195561945438385,0.1953946352005005,1046.19189453125,15.556548118591309,27.830488204956055
6,1602545464.3258774,19200,1148.12353515625,nan,-1.1194410953763168e-09,0.0,-9.284000841323567e-14,0.0,9.750386379892007e-05,9.750386379892007e-05,0.2555951476097107,0.2176073044538498,1114.0638427734375,15.133607864379883,18.926069259643555
7,1602545473.2680829,22400,888.1643676757812,0.0,-0.00020016997586935759,5.918082024436444e-09,-1.7402321361714712e-08,0.0,0.00010270728671457618,0.00010270728671457618,0.21037837862968445,0.2519788444042206,855.19091796875,14.463568687438965,18.510089874267578
8,1602545478.5535674,25600,1011.4141845703125,10.0,-1.145991523898715e-09,0.0,-1.0336306255354089e-09,0.0062500000931322575,8.996832912089303e-05,0.0063399686478078365,0.18588680028915405,0.25724557042121887,781.0386962890625,16.665769577026367,213.70974731445312
9,1602545484.7152643,28800,667.0219116210938,0.0,5.780909206015464e-17,0.0,-1.9891871349613285e-20,0.0,6.21484505245462e-05,6.21484505245462e-05,0.16912846267223358,0.23179805278778076,593.030029296875,16.678226470947266,57.31366729736328
10,1602545489.7133172,32000,107608.90625,1.3636363744735718,-3.7295279784358095e-30,106738.7890625,-4.868193521911923e-13,0.01875000074505806,0.00017628750356379896,0.018926287069916725,0.19866713881492615,0.40785300731658936,814.0538940429688,22.89578628540039,33.165645599365234
11,1602545494.50921,35200,172654.6875,1.9767441749572754,-0.006824956275522709,171920.0625,-1.6022838735807454e-06,0.05312500149011612,0.00028871765243820846,0.05341371148824692,0.20679551362991333,0.6542349457740784,645.0999755859375,28.665998458862305,60.857330322265625
12,1602545499.139004,38400,694.1791381835938,0.8571428656578064,-0.8149601817131042,100.06602478027344,-0.009600306861102581,0.00937500037252903,0.00010157485667150468,0.009476576000452042,0.07686188817024231,0.34378060698509216,540.593994140625,27.463336944580078,26.88038444519043
13,1602545503.6549892,41600,671.7178344726562,1.6129032373428345,8.305546760559082,18.601520538330078,-0.008451445959508419,0.015625,6.959615711821243e-05,0.015694595873355865,0.05774041265249252,0.26705509424209595,585.7003784179688,27.318084716796875,31.800748825073242
14,1602545508.2385337,44800,2659.882080078125,0.0,0.0,2114.203369140625,-1.0940789385571748e-09,0.0,5.269717803457752e-06,5.269717803457752e-06,0.01333735790103674,0.10942421108484268,500.6071472167969,24.78497886657715,20.286664962768555
15,1602545513.0058057,48000,969.3566284179688,0.0,0.10091748088598251,395.5205993652344,-3.941149770980701e-05,0.0,2.289214899064973e-05,2.289214899064973e-05,0.027772102504968643,0.14214877784252167,530.4190673828125,23.806381225585938,19.509714126586914
