# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602671642.606056,0,2284.001708984375,1.25,0.01362309418618679,1.4721840620040894,-0.0025780529249459505,0.00937500037252903,0.0004711180808953941,0.009846119210124016,0.5092270374298096,0.7821767926216125,2037.360107421875,26.775068283081055,218.3832550048828
1,1602671649.9580932,3200,1985.234619140625,2.5,1.3137188819428713e-12,0.0,-3.3738975697451823e-13,0.0,0.0003802902647294104,0.0003802902647294104,0.3268296718597412,0.5904192328453064,1943.345703125,21.692012786865234,20.196897506713867
2,1602671655.4839985,6400,2648.5244140625,0.0,1.5392462695065778e-12,0.0,-1.9025659520055527e-11,0.012500000186264515,0.0003559952892828733,0.012855995446443558,0.2818871736526489,0.599173367023468,1895.586181640625,18.03458595275879,734.9037475585938
3,1602671661.4213917,9600,1334.98828125,0.0,-5.1101002193577796e-15,0.0,-2.827699046323382e-14,0.00937500037252903,0.0002841815585270524,0.009659182280302048,0.22752493619918823,0.5794185400009155,1190.2744140625,18.764631271362305,125.94921875
4,1602671666.7704227,12800,1033.90625,2.5,1.079688838334647e-10,0.0,-3.7438510624987487e-11,0.0031250000465661287,0.00024141502217389643,0.0033664146903902292,0.2417125254869461,0.6487071514129639,867.021484375,21.40717887878418,145.4776611328125
5,1602671672.2849956,16000,885.029296875,7.5,1.3084937440613646e-15,0.0,-1.116571705971417e-14,0.02187499962747097,0.00022604077821597457,0.022101037204265594,0.20644396543502808,0.6283440589904785,736.7789306640625,20.350282669067383,127.90006256103516
6,1602671678.8021493,19200,702.6498413085938,0.0,8.190701806035094e-13,0.0,-2.0953813684165823e-10,0.0031250000465661287,0.0001852546411100775,0.0033102543093264103,0.172272726893425,0.5358304977416992,612.950439453125,20.75392723083496,68.94547271728516
7,1602671685.1175566,22400,586.4691162109375,6.666666507720947,2.3581633607633323e-12,0.0,-4.485403341065661e-14,0.0062500000931322575,0.00016925059026107192,0.006419250275939703,0.16051217913627625,0.5209590792655945,496.2590026855469,22.05156135559082,68.15856170654297
8,1602671691.2616117,25600,11560.580078125,4.782608509063721,-1.243032776319583e-13,10996.435546875,-6.371509431168931e-10,0.02812499925494194,0.00021814898354932666,0.02834314852952957,0.16855408251285553,0.565993070602417,479.29144287109375,22.72821807861328,62.1246223449707
9,1602671696.0421033,28800,1355202.875,3.3333332538604736,-4.754219055175781,1354577.625,-1.393260208715219e-05,0.05937499925494194,0.00019070804410148412,0.0595657117664814,0.14386458694934845,0.6013646721839905,561.6577758789062,29.01624870300293,39.38421630859375
10,1602671700.6796165,32000,14459.3681640625,2.307692289352417,-1.4238280057907104,13939.33984375,-2.2888774765306152e-05,0.012500000186264515,7.76226952439174e-05,0.012577624060213566,0.06459832191467285,0.3400327265262604,470.9311218261719,28.01089859008789,22.51072120666504
11,1602671704.8389776,35200,499.6645202636719,0.5555555820465088,-1.0108637809753418,66.52681732177734,-0.003880602540448308,0.0031250000465661287,5.098803012515418e-05,0.003175987396389246,0.04949544742703438,0.2315800040960312,382.1141357421875,27.345245361328125,24.69304656982422
12,1602671709.2665207,38400,414.7855224609375,0.0,0.01381395198404789,0.6366857886314392,-4.736724804388359e-06,0.0,1.0283375559083652e-05,1.0283375559083652e-05,0.021251309663057327,0.1250637024641037,368.35443115234375,26.925617218017578,18.85498046875
13,1602671713.562378,41600,453.1007080078125,1.1111111640930176,-1.6817665100097656,33.17503356933594,-0.00016109144780784845,0.0031250000465661287,2.448769737384282e-05,0.003149487776681781,0.027247197926044464,0.1536116749048233,377.2860412597656,26.051349639892578,18.27020835876465
14,1602671718.1534534,44800,357.21026611328125,nan,3.7761706955796726e-11,0.0,-6.578575878490867e-11,0.0,1.5533898931607837e-06,1.5533898931607837e-06,0.013629349879920483,0.0762493833899498,313.62493896484375,25.47074317932129,18.114580154418945
15,1602671722.705085,48000,398.5708923339844,nan,1.8789433550714385e-11,0.0,-4.4066604532044806e-11,0.0,1.4231217164706322e-06,1.4231217164706322e-06,0.01327999122440815,0.07158688455820084,355.3964538574219,24.74004364013672,18.43437385559082
16,1602671727.0568798,51200,439.5276794433594,nan,1.8787204431047755e-11,0.0,-4.23759222156761e-11,0.0,1.0202772955381079e-06,1.0202772955381079e-06,0.010879912413656712,0.06299828737974167,397.017333984375,23.513700485229492,18.99664878845215
17,1602671731.6778328,54400,284.9134216308594,nan,3.787583788272819e-11,0.0,-6.83516646060589e-11,0.0,7.414284937112825e-07,7.414284937112825e-07,0.008721353486180305,0.058155547827482224,237.353515625,23.795669555664062,23.764259338378906
18,1602671736.0715237,57600,409.9331970214844,nan,3.7846843714550715e-11,0.0,-6.763115761865279e-11,0.0,7.721228598711605e-07,7.721228598711605e-07,0.009471309371292591,0.05463126301765442,369.06201171875,22.781930923461914,18.089269638061523
19,1602671740.6377697,60800,306.89251708984375,0.0,3.781144494729993e-11,0.0,-6.306765526487013e-11,0.0,1.3675127092938055e-06,1.3675127092938055e-06,0.009278012439608574,0.059440549463033676,265.85614013671875,22.73114776611328,18.30523681640625
20,1602671745.0346017,64000,374.8222351074219,5.483870983123779,-1.4550327062606812,32.87845993041992,-0.0001905417157104239,0.08124999701976776,0.00015632982831448317,0.08140632510185242,0.1100793182849884,0.5787144303321838,303.2118225097656,24.07724952697754,16.10993194580078
21,1602671749.7895305,67200,7688.58935546875,4.44444465637207,-1.0049629211425781,7283.5634765625,-5.132432488608174e-05,0.0625,0.0001976390922209248,0.0626976266503334,0.13447020947933197,0.7865658402442932,362.6269836425781,25.997098922729492,17.406633377075195
22,1602671754.0841157,70400,399.11920166015625,2.8787879943847656,0.019468924030661583,43.885169982910156,-0.00036336787161417305,0.03437500074505806,0.0001234023948200047,0.03449839726090431,0.08566856384277344,0.6086994409561157,311.0414123535156,26.729629516601562,17.443918228149414
23,1602671758.4854605,73600,2630.00146484375,1.7647058963775635,-0.14475074410438538,2365.825927734375,-3.450216900091618e-05,0.02500000037252903,5.1624021580209956e-05,0.025051625445485115,0.03928835690021515,0.3558366298675537,221.77261352539062,26.19638442993164,16.35126495361328
24,1602671763.105104,76800,217.0603485107422,2.2727272510528564,-1.0589007139205933,6.47215461730957,-0.008797810412943363,0.00937500037252903,3.4790813515428454e-05,0.009409792721271515,0.026977574452757835,0.2764352560043335,168.71437072753906,25.689807891845703,17.251718521118164
25,1602671767.0976474,80000,335.3169860839844,0.0,0.5200962424278259,0.14914503693580627,-0.00930065754801035,0.0,7.721020665485412e-06,7.721020665485412e-06,0.012132443487644196,0.13332773745059967,290.5343017578125,25.40891456604004,18.713836669921875
26,1602671771.5082626,83200,213.8111572265625,nan,0.516106903553009,5.075729846954346,-0.002045256085693836,0.0,8.412797001255967e-07,8.412797001255967e-07,0.006627719383686781,0.0853043645620346,164.3936004638672,25.192596435546875,18.635160446166992
27,1602671775.748572,86400,301.5617370605469,nan,-0.02017228864133358,78.93730926513672,-2.1403997379820794e-05,0.0,7.973454216880782e-07,7.973454216880782e-07,0.0064370296895504,0.08123847842216492,179.9730682373047,24.21525001525879,18.456308364868164
28,1602671780.380961,89600,208.1384735107422,nan,2.101506471633911,6.5812506675720215,-0.00630853371694684,0.0,6.750098577867902e-07,6.750098577867902e-07,0.006758430041372776,0.06735502928495407,154.7540283203125,24.626319885253906,20.081682205200195
29,1602671784.9867797,92800,275.61590576171875,nan,0.30604833364486694,0.8316760063171387,-0.018971247598528862,0.0,5.620195793198945e-07,5.620195793198945e-07,0.0058265863917768,0.06424907594919205,230.39207458496094,23.04133415222168,21.063745498657227
30,1602671789.3655741,96000,163.39805603027344,0.0,0.12985365092754364,17.594865798950195,-0.0002457246882840991,0.0,1.0519651141294162e-06,1.0519651141294162e-06,0.004888829775154591,0.061906784772872925,103.61187744140625,23.528696060180664,18.53299903869629
31,1602671794.0132043,99200,276.52508544921875,nan,-1.548450231552124,6.154234886169434,-0.0033581815659999847,0.0,8.222606879826344e-07,8.222606879826344e-07,0.005358802620321512,0.06177873536944389,229.82582092285156,22.440418243408203,19.656417846679688
32,1602671798.2068958,102400,152.40682983398438,0.0,-0.19241228699684143,0.2245769053697586,-0.02427917718887329,0.0,5.79442348680459e-06,5.79442348680459e-06,0.0093259047716856,0.0941530242562294,110.94001770019531,22.885116577148438,18.573808670043945
33,1602671802.7439103,105600,215.48147583007812,3.04347825050354,1.0383543968200684,2.935596466064453,-0.019908512011170387,0.05312500149011612,8.197016722988337e-05,0.05320696905255318,0.058348193764686584,0.4680640697479248,175.71908569335938,22.327245712280273,13.481106758117676
34,1602671807.3806586,108800,246.79537963867188,3.8181817531585693,6.097822189331055,3.583158016204834,-0.013013796880841255,0.10625000298023224,0.00014155414828564972,0.1063915565609932,0.09553346782922745,0.9376885294914246,200.2391357421875,23.648595809936523,13.23968505859375
35,1602671811.9899905,112000,202.5366668701172,3.7878787517547607,1.0068962574005127,1.5846054553985596,-0.0023417146876454353,0.08124999701976776,0.00012382434215396643,0.08137382566928864,0.08425331860780716,0.9273055195808411,162.03622436523438,23.240522384643555,14.670760154724121
36,1602671816.741834,115200,165.1880645751953,4.0625,0.026982048526406288,8.097569465637207,-0.012256511487066746,0.05624999850988388,6.715622293995693e-05,0.05631715804338455,0.046060074120759964,0.6696107387542725,120.1298828125,21.91305160522461,15.032832145690918
37,1602671821.4764216,118400,170.67669677734375,4.186046600341797,0.5183495283126831,5.237326622009277,-0.015415786765515804,0.078125,6.908483192091808e-05,0.07819408178329468,0.0478043407201767,0.6599424481391907,131.0164031982422,22.009355545043945,11.910680770874023
38,1602671826.196985,121600,176.66033935546875,4.800000190734863,-1.152906894683838,0.4771190583705902,-0.02089986763894558,0.07500000298023224,0.00010754194954643026,0.07510753720998764,0.0732974037528038,0.8950960636138916,141.86505126953125,22.244462966918945,13.247515678405762
39,1602671830.0776217,124800,156.9410858154297,5.333333492279053,0.06750806421041489,2.1338613033294678,-0.005775704979896545,0.07500000298023224,8.499740943079814e-05,0.07508499175310135,0.05757736787199974,0.8380614519119263,118.90496063232422,21.920578002929688,13.919951438903809
