# _tick,_time,frames,mean_episode_return,total_loss,pg_loss,baseline_loss,entropy_loss
0,1602677727.5076125,0,nan,-0.23450715839862823,-0.2284127175807953,2.3578610125696287e-05,-0.006118015386164188
1,1602677738.4748495,3200,nan,-8.993673673883108e-41,0.0,0.0,-8.993673673883108e-41
2,1602677744.2913864,6400,nan,-9.88644092550445e-41,0.0,0.0,-9.88644092550445e-41
3,1602677748.2321813,9600,nan,-7.122659964316613e-41,0.0,0.0,-7.122659964316613e-41
4,1602677753.8974233,12800,nan,-1.0603905739238756e-40,0.0,0.0,-1.0603905739238756e-40
5,1602677758.8719742,16000,nan,4061.09912109375,0.0,4061.09912109375,-1.0742634287206913e-40
6,1602677761.0806456,19200,nan,328.0596618652344,-4.365087985992432,332.4257507324219,-0.001003236509859562
7,1602677763.7887952,22400,0.0,2116.1572265625,0.5690324306488037,2115.588134765625,-6.0277030570432544e-05
8,1602677766.310592,25600,nan,13154.29296875,-0.8855826258659363,13155.1787109375,-3.7276528018992394e-05
9,1602677768.9172728,28800,0.0,13.625605583190918,3.902207374572754,9.726419448852539,-0.0030214597936719656
10,1602677771.5961967,32000,0.0,31692.15234375,0.0,31692.15234375,-1.0459948292386508e-19
11,1602677773.9853954,35200,0.0,46.08985900878906,0.370219349861145,45.71992492675781,-0.0002850255696102977
12,1602677776.4981632,38400,0.0,607.8779296875,-2.359330654144287,610.238525390625,-0.0012890241341665387
13,1602677779.1358733,41600,0.0,200.09832763671875,-0.5811736583709717,200.67970275878906,-0.00020141134154982865
14,1602677781.8400834,44800,0.0,417.4676513671875,0.6736305356025696,416.79425048828125,-0.00024156030849553645
15,1602677784.2940416,48000,nan,-0.25956350564956665,-3.8143954277038574,3.5733206272125244,-0.018488703295588493
16,1602677786.8877597,51200,nan,-0.1481858789920807,-0.12195051461458206,0.00013696964015252888,-0.026372328400611877
17,1602677789.5893517,54400,nan,-0.03493158519268036,-0.008691594935953617,1.7302079768910517e-08,-0.02624000795185566
18,1602677792.0952249,57600,nan,-0.09050039201974869,-0.06430379301309586,0.00012099404557375237,-0.026317598298192024
19,1602677794.215421,60800,0.0,-0.03289243206381798,-0.006784468423575163,1.169253846455831e-05,-0.02611965499818325
20,1602677796.9105377,64000,nan,-0.014425466768443584,0.011764432303607464,5.391318325109751e-08,-0.026189953088760376
21,1602677799.6336606,67200,0.0,-0.014366771094501019,0.011942708864808083,8.428573892160784e-07,-0.026310322806239128
22,1602677802.193129,70400,0.0,0.3430335521697998,-0.026953835040330887,0.39620715379714966,-0.026219753548502922
23,1602677805.006002,73600,0.0,0.156236469745636,0.1706634759902954,0.011248394846916199,-0.025675395503640175
24,1602677807.6875107,76800,0.0,6.795416831970215,6.1978044509887695,0.6151214838027954,-0.017508793622255325
25,1602677810.3171916,80000,0.0,16.92156410217285,7.671779155731201,9.254467010498047,-0.004682913888245821
26,1602677812.7090025,83200,0.0,15.092698097229004,0.0009078450966626406,15.091790199279785,-2.4717449420563753e-08
27,1602677815.5075948,86400,0.0,30.03009796142578,1.2309316066438925e-10,30.03009796142578,-3.826033934117845e-11
28,1602677817.7418618,89600,0.0,34.40302276611328,7.758842125640125e-14,34.40302276611328,-3.762751168181729e-15
29,1602677820.021143,92800,nan,3.689846992492676,2.645383290200698e-08,3.689846992492676,-5.315901256512656e-13
30,1602677822.6447403,96000,0.0,1.2829395532608032,-1.7090997062041424e-07,1.2829396724700928,-3.118288682824044e-10
31,1602677825.1404886,99200,nan,1.1693964004516602,-0.000630491878837347,1.1700271368026733,-2.4246136831607146e-07
32,1602677827.4468136,102400,nan,5.808683395385742,0.02748820185661316,5.781198501586914,-3.4989791402040282e-06
33,1602677829.257541,105600,0.0,3.6718647480010986,-0.5031285285949707,4.175018787384033,-2.5505554731353186e-05
34,1602677831.3279114,108800,1.1764706373214722,7.252225399017334,1.013832688331604,6.238612651824951,-0.0002199477603426203
35,1602677833.8806498,112000,3.75,58.58210372924805,-2.8119096755981445,61.395668029785156,-0.0016555368201807141
36,1602677836.1933281,115200,2.5,114.86537170410156,0.19864679872989655,114.6673583984375,-0.0006327946321107447
37,1602677838.9622045,118400,0.0,0.565234363079071,-0.2859143912792206,0.8532924056053162,-0.002143704332411289
38,1602677841.279574,121600,0.0,7.40584659576416,4.698875904083252,2.714223623275757,-0.007252570241689682
39,1602677843.8381712,124800,nan,-0.03583691641688347,-0.01347225159406662,0.002076307777315378,-0.02444097213447094
40,1602677845.5707,128000,nan,0.013551328331232071,0.028779493644833565,0.009198999963700771,-0.02442716434597969
41,1602677847.7803524,131200,nan,0.04908823221921921,0.0584278367459774,0.013940934091806412,-0.023280540481209755
42,1602677850.4228258,134400,nan,0.5579409003257751,0.16783304512500763,0.4011381268501282,-0.011030278168618679
43,1602677852.2429228,137600,nan,1.0544350147247314,0.18559354543685913,0.8704285025596619,-0.00158699881285429
44,1602677854.4268813,140800,0.0,-0.3607912063598633,-0.3366180658340454,0.000569041003473103,-0.02474217489361763
45,1602677857.137854,144000,3.3333332538604736,-0.11240442097187042,-0.08669687062501907,0.000574861653149128,-0.02628241293132305
46,1602677859.375158,147200,3.75,-0.27353790402412415,-0.27720266580581665,0.029832705855369568,-0.02616795338690281
47,1602677862.0692313,150400,4.44444465637207,2.345299243927002,-1.5658107995986938,3.9278922080993652,-0.016782239079475403
48,1602677863.8457348,153600,2.5,-0.5661385655403137,-2.0894758701324463,1.5483735799789429,-0.025036251172423363
49,1602677866.91506,156800,2.0,-0.8510856032371521,-0.9873842597007751,0.16228245198726654,-0.025983793660998344
50,1602677868.5952754,160000,3.3333332538604736,-5.860288143157959,-7.393606185913086,1.5570733547210693,-0.023755457252264023
51,1602677871.207793,163200,0.0,0.24369394779205322,0.25975996255874634,0.009323296137154102,-0.025389311835169792
52,1602677873.9494894,166400,0.0,0.039300739765167236,0.058935414999723434,0.0059140948578715324,-0.025548772886395454
53,1602677876.6165173,169600,nan,0.5539394021034241,0.5541965961456299,0.025034431368112564,-0.025291606783866882
54,1602677879.2200582,172800,nan,-0.03356923162937164,-0.3329157531261444,0.3246787488460541,-0.02533222921192646
55,1602677881.6646614,176000,0.0,-0.19023397564888,-0.3517577052116394,0.18648558855056763,-0.024961862713098526
56,1602677884.4553165,179200,nan,-0.16029705107212067,-0.4993378818035126,0.3640259802341461,-0.024985147640109062
57,1602677886.3904235,182400,0.0,-0.7562746405601501,-0.7871028780937195,0.056399911642074585,-0.02557162381708622
58,1602677889.057725,185600,0.0,1.1963251829147339,1.1735249757766724,0.04822460561990738,-0.025424327701330185
59,1602677891.2811422,188800,0.0,-2.389007091522217,-2.3984389305114746,0.034996189177036285,-0.02556433714926243
60,1602677893.7694492,192000,0.0,4.1493916511535645,4.106204509735107,0.06885596364736557,-0.02566848136484623
61,1602677896.2727022,195200,0.0,-12.88651180267334,-13.194819450378418,0.33259230852127075,-0.024283966049551964
62,1602677898.167073,198400,0.0,11.44121265411377,11.213615417480469,0.25295141339302063,-0.025354454293847084
63,1602677900.977052,201600,0.0,-1.099954605102539,-1.1548686027526855,0.08011100441217422,-0.02519708126783371
64,1602677903.7922363,204800,0.0,2.7154104709625244,2.7027218341827393,0.03823385387659073,-0.025545233860611916
